"","Plot","G"
"1",101,26.2961483086713
"2",102,NA
"3",103,12.4694457839053
"4",104,NA
"5",105,27.0729293493885
"6",106,15.7319261549175
"7",107,24.0434832905915
"8",108,30.1800535122573
"9",109,7.96411574774559
"10",110,NA
"11",111,NA
"12",112,24.742586227237
"13",113,20.4702905032924
"14",114,NA
"15",115,NA
"16",116,NA
"17",117,27.1506074534602
"18",118,NA
"19",119,9.5953559332517
"20",120,21.3247496480813
"21",121,15.887282363061
"22",122,NA
"23",123,15.2658575304872
"24",201,NA
"25",202,NA
"26",203,6.33287556223949
"27",204,17.9845911729974
"28",205,NA
"29",206,15.1105013223438
"30",207,14.7221108019852
"31",208,NA
"32",209,NA
"33",210,18.916728421858
"34",211,16.5863852997064
"35",212,NA
"36",213,10.061424557682
"37",214,12.3917676798336
"38",215,NA
"39",216,20.5479686073641
"40",217,7.34269091517184
"41",218,11.7703428472598
"42",219,10.5274931821123
"43",220,3.30342950344244
"44",221,NA
"45",222,NA
"46",223,10.9935618065426
"47",301,5.47841641745058
"48",302,22.6452774173005
"49",303,23.344380353946
"50",304,NA
"51",305,6.95430039481324
"52",306,NA
"53",307,21.3247496480813
"54",308,NA
"55",309,15.8096042589892
"56",310,2.52664846272525
"57",311,34.141636819915
"58",312,10.5274931821123
"59",313,25.1309767475955
"60",314,23.8104489783763
"61",315,18.372981693356
"62",316,NA
"63",317,NA
"64",318,NA
"65",319,3.61414191972931
"66",320,41.7540910189435
"67",321,NA
"68",322,NA
"69",323,NA
"70",401,19.3051189422166
"71",402,NA
"72",403,28.5488133267512
"73",404,18.372981693356
"74",405,18.4506597974277
"75",406,21.6354620643682
"76",407,23.9658051865198
"77",408,23.344380353946
"78",409,NA
"79",410,NA
"80",411,2.60432656679696
"81",412,NA
"82",413,9.36232162103654
"83",414,9.82839024546685
"84",415,17.0524539241367
"85",416,11.0712399106144
"86",417,NA
"87",418,6.17751935409605
"88",419,NA
"89",420,5.01234779302026
"90",421,NA
"91",422,NA
"92",423,NA
