"","N","P","CROP","response","SE","df","lower.CL","upper.CL","Year","Harvest"
"1",0,"MN","inter",1469.47443510981,135.52446162048,71.3548995122037,1222.65689164907,1766.11699503761,"1","Fall"
"2",40,"MN","inter",1373.28271739994,95.5235929747007,33.5906762306742,1192.17635117513,1581.9013856888,"1","Fall"
"3",80,"MN","inter",1283.3877043723,77.1736878812084,20.0649999107799,1132.12280719274,1454.86336753359,"1","Fall"
"4",120,"MN","inter",1199.37721407611,83.4269734621377,33.5906762306751,1041.20523228243,1381.57748063906,"1","Fall"
"5",160,"MN","inter",1120.86604596897,103.373535326098,71.3548995122067,932.601862935435,1347.13508833414,"1","Fall"
"6",0,"NY","inter",2252.38014181211,207.729102861826,71.3548995122057,1874.06329583019,2707.0677466004,"1","Fall"
"7",40,"NY","inter",2093.22525168636,145.601771880612,33.590676230675,1817.17399565608,2411.21211549996,"1","Fall"
"8",80,"NY","inter",1945.3163668777,116.977307493414,20.06499991078,1716.03407033162,2205.23346981738,"1","Fall"
"9",120,"NY","inter",1807.85883611596,125.752089812811,33.5906762306749,1569.44125442799,2082.49500393932,"1","Fall"
"10",160,"NY","inter",1680.11415879279,154.951022890252,71.3548995122057,1397.91690547626,2019.27852472339,"1","Fall"
"11",0,"WI","inter",208.08992435888,19.1914022412213,71.354899512206,173.138486809474,250.097002796001,"1","Fall"
"12",40,"WI","inter",212.245923944265,14.7635246497366,33.5906762306751,184.255265105748,244.48871083874,"1","Fall"
"13",80,"WI","inter",216.484927704921,13.0178434659827,20.0649999107802,190.969200681319,245.409855391353,"1","Fall"
"14",120,"WI","inter",220.808593411253,15.3591317614973,33.5906762306752,191.688703182359,254.352155942505,"1","Fall"
"15",160,"WI","inter",225.218611942875,20.771120885944,71.3548995122064,187.390186205599,270.683455695076,"1","Fall"
"16",0,"MN","monoA",1929.20615233926,177.923901841245,71.3548995122054,1605.17062509708,2318.65467759763,"1","Fall"
"17",40,"MN","monoA",1941.79212988989,135.068299270718,33.5906762306747,1685.71163593733,2236.7744253042,"1","Fall"
"18",80,"MN","monoA",1954.46021729214,117.527152762706,20.0649999107801,1724.10019217811,2215.59904598806,"1","Fall"
"19",120,"MN","monoA",1967.21095022372,136.836396266843,33.5906762306753,1707.77826219921,2266.05467954405,"1","Fall"
"20",160,"MN","monoA",1980.04486785707,182.612577864053,71.3548995122067,1647.47031021259,2379.75619616551,"1","Fall"
"21",0,"NY","monoA",2904.25706602004,267.849420089048,71.3548995122064,2416.44892353951,3490.53895712911,"1","Fall"
"22",40,"NY","monoA",2828.17272134261,196.723672753399,33.590676230675,2455.19774821527,3257.80721636812,"1","Fall"
"23",80,"NY","monoA",2754.08159812367,165.610620180384,20.06499991078,2429.47519247943,3122.0592301593,"1","Fall"
"24",120,"NY","monoA",2681.93147889591,186.551339888072,33.5906762306749,2328.2425709583,3089.35011635503,"1","Fall"
"25",160,"NY","monoA",2611.67151416034,240.865283144363,71.3548995122054,2173.00696032395,3138.88920855539,"1","Fall"
"26",0,"WI","monoA",173.114130317032,15.9657077044422,71.3548995122064,144.037337034814,208.060651025357,"1","Fall"
"27",40,"WI","monoA",171.61545919572,11.9373272995208,33.5906762306752,148.983082184682,197.685974830678,"1","Fall"
"28",80,"WI","monoA",170.129762261586,10.2303778720566,20.0649999107801,150.077629217138,192.861095675401,"1","Fall"
"29",120,"WI","monoA",168.656927195436,11.7315360206988,33.5906762306753,146.414716734331,194.278005144935,"1","Fall"
"30",160,"WI","monoA",167.196842650436,15.4199770635352,71.3548995122064,139.113935597828,200.948841481205,"1","Fall"
