"","N","P","CROP","response","SE","df","lower.CL","upper.CL","Year","Harvest"
"1",0,"MN","inter",449.566045717406,74.9250875761099,112,323.133496349143,625.467900250141,"1","Fall"
"2",40,"MN","inter",473.831593741085,55.8396610400163,112,375.160196222437,598.454690790541,"1","Fall"
"3",80,"MN","inter",499.406886632061,48.0537910652544,112,412.720314027131,604.300854450148,"1","Fall"
"4",120,"MN","inter",526.362618512542,62.0302879548727,112,416.752082076705,664.801972402351,"1","Fall"
"5",160,"MN","inter",554.773299254687,92.4590244915276,112,398.753058815304,771.83963047287,"1","Fall"
"6",0,"NY","inter",386.792513008458,64.4631933105536,112,278.013916488389,538.132946757168,"1","Fall"
"7",40,"NY","inter",433.460985263015,51.082103453794,112,343.196423442591,547.466153232255,"1","Fall"
"8",80,"NY","inter",485.760244643296,46.7406876611485,112,401.442443181171,587.787911527393,"1","Fall"
"9",120,"NY","inter",544.369674084363,64.1523665430063,112,431.009321549437,687.545088346137,"1","Fall"
"10",160,"NY","inter",610.050627507247,101.671594479297,112,438.48460997946,848.745337126925,"1","Fall"
"11",0,"WI","inter",269.090063221054,44.8467955815592,112,193.413212118089,374.377020738899,"1","Fall"
"12",40,"WI","inter",254.373977408755,29.9772257982172,112,201.40276110566,321.2772259304,"1","Fall"
"13",80,"WI","inter",240.462689733713,23.1377343019425,112,198.723404653057,290.968772676382,"1","Fall"
"14",120,"WI","inter",227.312187130908,26.7880733309448,112,179.976358381837,287.097877092347,"1","Fall"
"15",160,"WI","inter",214.88086353628,35.8122408759628,112,154.44939713407,298.957369668566,"1","Fall"
"16",0,"MN","monoI",945.420564994889,124.565796669215,112,728.195986492466,1227.44434368632,"1","Fall"
"17",40,"MN","monoI",1049.13898983282,100.949961174608,112,867.030441374193,1269.49708737204,"1","Fall"
"18",80,"MN","monoI",1164.23596094864,104.789595786109,112,974.069477859587,1391.52843156983,"1","Fall"
"19",120,"MN","monoI",1291.95977454044,152.253663201477,112,1022.92014490054,1631.75988600056,"1","Fall"
"20",160,"MN","monoI",1433.69567254265,233.910128669347,112,1037.68366290136,1980.83804819707,"1","Fall"
"21",0,"NY","monoI",179.977414028035,29.995200118491,112,129.361929382258,250.397235994388,"1","Fall"
"22",40,"NY","monoI",228.087933668067,26.8794927809353,112,180.590562303534,288.077653789722,"1","Fall"
"23",80,"NY","monoI",289.059078695646,27.8137625751028,112,238.884478618643,349.772205626483,"1","Fall"
"24",120,"NY","monoI",366.328676982852,43.1707581810966,112,290.0438471266,462.677284519095,"1","Fall"
"25",160,"NY","monoI",464.25353663188,77.3729182197346,112,333.690388572213,645.902170564215,"1","Fall"
"26",0,"WI","monoI",297.714626052849,49.6173913537058,112,213.987619721633,414.201525682129,"1","Fall"
"27",40,"WI","monoI",290.859561482162,34.2769446739056,112,230.290532755073,367.35893348934,"1","Fall"
"28",80,"WI","monoI",284.162339039997,27.3425898487908,112,234.837710377184,343.846969036567,"1","Fall"
"29",120,"WI","monoI",277.619324313099,32.7166216279631,112,219.807462314034,350.636363391293,"1","Fall"
"30",160,"WI","monoI",271.226966572841,45.2029338448901,112,194.949148957628,377.35003096779,"1","Fall"
