"","N","P","CROP","response","SE","df","lower.CL","upper.CL","Year","Harvest"
"1",0,"MN","inter",1981.94258823869,253.257408519352,146.595084933348,1539.63260039885,2551.32063458301,"1","Fall"
"2",40,"MN","inter",1912.54188854068,175.49404715615,88.9788011992399,1593.77952066896,2295.05802276054,"1","Fall"
"3",80,"MN","inter",1845.57135869075,140.356234989298,52.8330536151483,1584.45435752416,2149.7202641684,"1","Fall"
"4",120,"MN","inter",1780.94590263776,163.418854296856,88.9788011992228,1484.11656970774,2137.14230597589,"1","Fall"
"5",160,"MN","inter",1718.58340409676,219.604736196069,146.59508493332,1335.04726683493,2212.30288260798,"1","Fall"
"6",0,"NY","inter",2649.54646571992,338.565443641914,146.59508493333,2058.24736755829,3410.71563343569,"1","Fall"
"7",40,"NY","inter",2558.85717434935,234.79966860426,88.9788011992345,2132.37377190554,3070.63898692953,"1","Fall"
"8",80,"NY","inter",2471.27201709218,187.940950817274,52.833053615148,2121.62899996831,2878.53596578574,"1","Fall"
"9",120,"NY","inter",2386.68474492553,219.001198186785,88.9788011992302,1988.897232289,2864.03137335783,"1","Fall"
"10",160,"NY","inter",2304.99274554274,294.537537492867,146.595084933326,1790.58767684802,2967.17755053312,"1","Fall"
"11",0,"WI","inter",479.795852771424,61.3094723390593,146.595084933332,372.719846097826,617.632956084226,"1","Fall"
"12",40,"WI","inter",470.554906337145,43.1779222285684,88.9788011992356,392.127763351987,564.667795988735,"1","Fall"
"13",80,"WI","inter",461.491942039451,35.0965955109464,52.8330536151483,396.19867044611,537.545500411548,"1","Fall"
"14",120,"WI","inter",452.603531913344,41.5307115878373,88.9788011992302,377.168335223411,543.126073876516,"1","Fall"
"15",160,"WI","inter",443.886314016987,56.7208647880425,146.595084933326,344.824236578304,571.407223943331,"1","Fall"
"16",0,"MN","monoA",1929.20615233923,246.518619429444,146.595084933327,1498.66535118513,2483.43392691392,"1","Fall"
"17",40,"MN","monoA",1941.79212988987,178.178037120197,88.9788011992292,1618.15463941343,2330.15843100695,"1","Fall"
"18",80,"MN","monoA",1954.46021729212,148.637264142467,52.8330536151467,1677.93729205516,2276.55393265555,"1","Fall"
"19",120,"MN","monoA",1967.21095022371,180.510457487589,88.9788011992297,1639.33691810253,2360.66111849623,"1","Fall"
"20",160,"MN","monoA",1980.04486785707,253.014913227716,146.595084933326,1538.15839414115,2548.87773174767,"1","Fall"
"21",0,"NY","monoA",2904.25706602005,371.112979043405,146.595084933327,2256.11422112731,3738.60021205524,"1","Fall"
"22",40,"NY","monoA",2828.17272134261,259.511951031697,88.9788011992302,2356.80263590451,3393.81873555855,"1","Fall"
"23",80,"NY","monoA",2754.08159812368,209.448701154623,52.8330536151467,2364.42582866033,3207.9523735456,"1","Fall"
"24",120,"NY","monoA",2681.93147889591,246.09291553141,88.9788011992286,2234.93534573676,3218.328651526,"1","Fall"
"25",160,"NY","monoA",2611.67151416034,333.725690897968,146.595084933323,2028.82496627093,3361.95985916594,"1","Fall"
"26",0,"WI","monoA",173.114130317031,22.1209414855628,146.595084933327,134.480262045662,222.846845028057,"1","Fall"
"27",40,"WI","monoA",171.615459195719,15.7473630613123,88.9788011992302,143.012399328434,205.939247039134,"1","Fall"
"28",80,"WI","monoA",170.129762261586,12.9384175682051,52.8330536151469,146.059290468804,198.167031445121,"1","Fall"
"29",120,"WI","monoA",168.656927195435,15.475889397137,88.9788011992302,140.54696432722,202.38899664016,"1","Fall"
"30",160,"WI","monoA",167.196842650435,21.364816182641,146.595084933324,129.883535050898,215.229622302163,"1","Fall"
"31",0,"MN","monoI",945.42056499489,96.4002297325662,110.579704869601,772.452153379431,1157.12027056284,"1","Fall"
"32",40,"MN","monoI",1049.13898983282,79.7873232589999,52.8330536151467,900.703641862081,1222.03638225765,"1","Fall"
"33",80,"MN","monoI",1164.23596094864,83.3433806325386,43.331092259711,1007.75929184347,1345.00905497634,"1","Fall"
"34",120,"MN","monoI",1291.95977454045,118.549690835819,88.9788011992292,1076.62950679831,1550.35696912522,"1","Fall"
"35",160,"MN","monoI",1433.69567254265,179.465839685312,144.162942811791,1119.44829361104,1836.15741182391,"1","Fall"
"36",0,"NY","monoI",179.977414028035,22.9979484467617,146.595084933327,139.811867214224,231.681832205179,"1","Fall"
"37",40,"NY","monoI",228.087933668067,20.9292537992123,88.9788011992308,190.072635674004,273.70644543592,"1","Fall"
"38",80,"NY","monoI",289.059078695645,21.9830264401032,52.8330536151473,248.162128581221,336.695818391274,"1","Fall"
"39",120,"NY","monoI",366.32867698285,33.6141668312072,88.9788011992281,305.272865764269,439.595898063314,"1","Fall"
"40",160,"NY","monoI",464.253536631878,59.3234376621478,146.595084933324,360.646107556581,597.625599609145,"1","Fall"
"41",0,"WI","monoI",297.714626052848,38.0426936279004,146.595084933326,231.273673923048,383.242921956082,"1","Fall"
"42",40,"WI","monoI",290.859561482161,26.6891522242766,88.9788011992308,242.382148730209,349.032653389672,"1","Fall"
"43",80,"WI","monoI",284.162339039996,21.6106279746887,52.8330536151474,243.958194418221,330.992099368688,"1","Fall"
"44",120,"WI","monoI",277.619324313099,25.4742335759436,88.9788011992286,231.348655045554,333.144315089644,"1","Fall"
"45",160,"WI","monoI",271.226966572841,34.6580365558654,146.595084933324,210.697263543813,349.145813092195,"1","Fall"
