"","N","P","CROP","emmean","SE","df","lower.CL","upper.CL","Year","Harvest"
"1",0,"MN","inter",2315.77532906003,410.628437586,77.5453144778914,1498.20140012122,3133.34925799884,"1","Summer"
"2",40,"MN","inter",2231.83731960752,317.671527268585,35.9350337865299,1587.52915520807,2876.14548400698,"1","Summer"
"3",80,"MN","inter",2147.89931015502,279.907772426503,22.5938733715875,1568.28949923504,2727.509121075,"1","Summer"
"4",120,"MN","inter",2063.96130070252,317.671527268585,35.935033786529,1419.65313630306,2708.26946510197,"1","Summer"
"5",160,"MN","inter",1980.02329125001,410.628437585999,77.5453144778878,1162.4493623112,2797.59722018882,"1","Summer"
"6",0,"NY","inter",5039.39068664743,440.658306134579,88.7745683145063,4163.78138127611,5914.99999201874,"1","Summer"
"7",40,"NY","inter",4491.04135655662,335.077587893826,42.487407563664,3815.05715532516,5167.02555778807,"1","Summer"
"8",80,"NY","inter",3942.69202646581,284.936499474294,24.0624905904608,3354.69280498717,4530.69124794445,"1","Summer"
"9",120,"NY","inter",3394.342696375,317.671527268584,35.9350337865293,2750.03453197554,4038.65086077446,"1","Summer"
"10",160,"NY","inter",2845.99336628419,414.072652347648,78.8912511310454,2021.78470279737,3670.202029771,"1","Summer"
"11",0,"KS","inter",4623.78523443733,419.256131485252,80.8310852486018,3789.57061671576,5457.9998521589,"1","Summer"
"12",40,"KS","inter",4555.44761927857,318.746132596147,36.317299226563,3909.19655220008,5201.69868635705,"1","Summer"
"13",80,"KS","inter",4487.11000411981,300.317755095953,28.5367331090377,3872.45781775938,5101.76219048024,"1","Summer"
"14",120,"KS","inter",4418.77238896105,376.232208523668,57.5500997352427,3665.53642692806,5172.00835099405,"1","Summer"
"15",160,"KS","inter",4350.4347738023,505.646970879063,105.820309089674,3347.92082059491,5352.94872700969,"1","Summer"
"16",0,"WI","inter",1937.33461491999,410.628437585999,77.5453144778914,1119.76068598118,2754.9085438588,"1","Summer"
"17",40,"WI","inter",1810.4332356325,317.671527268584,35.935033786529,1166.12507123304,2454.74140003195,"1","Summer"
"18",80,"WI","inter",1683.531856345,279.907772426503,22.593873371587,1103.92204542502,2263.14166726498,"1","Summer"
"19",120,"WI","inter",1556.6304770575,317.671527268584,35.9350337865291,912.322312658045,2200.93864145696,"1","Summer"
"20",160,"WI","inter",1429.72909777001,410.628437585999,77.5453144778914,612.155168831194,2247.30302670882,"1","Summer"
"21",0,"MN","monoA",3907.95485100001,410.628437586,77.5453144778906,3090.3809220612,4725.52877993882,"1","Summer"
"22",40,"MN","monoA",3736.38358875001,317.671527268585,35.9350337865288,3092.07542435055,4380.69175314947,"1","Summer"
"23",80,"MN","monoA",3564.81232650001,279.907772426503,22.593873371587,2985.20251558002,4144.42213741999,"1","Summer"
"24",120,"MN","monoA",3393.24106425,317.671527268585,35.9350337865292,2748.93289985055,4037.54922864946,"1","Summer"
"25",160,"MN","monoA",3221.669802,410.628437586,77.5453144778914,2404.09587306119,4039.24373093881,"1","Summer"
"26",0,"NY","monoA",6133.05093965,410.628437586,77.5453144778914,5315.47701071118,6950.62486858881,"1","Summer"
"27",40,"NY","monoA",6020.0668023,317.671527268585,35.935033786529,5375.75863790054,6664.37496669946,"1","Summer"
"28",80,"NY","monoA",5907.08266495,279.907772426503,22.5938733715871,5327.47285403002,6486.69247586998,"1","Summer"
"29",120,"NY","monoA",5794.0985276,317.671527268585,35.9350337865291,5149.79036320054,6438.40669199946,"1","Summer"
"30",160,"NY","monoA",5681.11439025,410.628437585999,77.5453144778914,4863.54046131119,6498.68831918881,"1","Summer"
"31",0,"KS","monoA",7530.76537561173,440.78535682593,88.6128329344497,6654.88153002481,8406.64922119865,"1","Summer"
"32",40,"KS","monoA",7861.93632205782,335.151849711568,42.4403345082971,7185.78034848956,8538.09229562607,"1","Summer"
"33",80,"KS","monoA",8193.10726850391,284.958333527464,24.0563610144377,7605.05508235754,8781.15945465027,"1","Summer"
"34",120,"KS","monoA",8524.27821495,317.671527268584,35.935033786529,7879.97005055054,9168.58637934945,"1","Summer"
"35",160,"KS","monoA",8855.44916139609,414.087677353844,78.8731324208975,8031.20764255788,9679.69068023429,"1","Summer"
"36",0,"WI","monoA",5714.0651872,410.628437585999,77.545314477891,4896.49125826119,6531.63911613881,"1","Summer"
"37",40,"WI","monoA",5812.688198125,317.671527268584,35.9350337865287,5168.38003372554,6456.99636252446,"1","Summer"
"38",80,"WI","monoA",5911.31120905,279.907772426504,22.593873371587,5331.70139813002,6490.92101996998,"1","Summer"
"39",120,"WI","monoA",6009.934219975,317.671527268585,35.9350337865288,5365.62605557554,6654.24238437446,"1","Summer"
"40",160,"WI","monoA",6108.5572309,410.628437586,77.5453144778906,5290.98330196119,6926.13115983881,"1","Summer"
