"","N","P","CROP","response","SE","df","lower.CL","upper.CL","Year","Harvest"
"1",0,"KS","inter",4809.534642237,524.035955721526,48.7429461102764,3863.65015481277,5986.98705835564,"1","Summer"
"2",40,"KS","inter",5007.91626905921,446.765467456202,24.1385063508457,4165.9802466081,6020.0058265584,"1","Summer"
"3",80,"KS","inter",5214.48065633292,447.653361253242,20.6577118820988,4361.11720368012,6234.82636337433,"1","Summer"
"4",120,"KS","inter",5429.56532305966,545.805642768413,36.3246377324592,4428.44587563589,6657.00347825497,"1","Summer"
"5",160,"KS","inter",5653.52171008031,718.791980098449,73.2037737983172,4388.11500852471,7283.83546562858,"1","Summer"
"6",0,"MN","inter",1423.07788433725,152.53980449319,46.3638589435568,1146.94895477742,1765.68508690327,"1","Summer"
"7",40,"MN","inter",1556.30190316746,138.520689326554,23.93908766765,1295.09972363696,1870.18464261646,"1","Summer"
"8",80,"MN","inter",1701.99793030348,139.65645350272,17.5054689795619,1431.9871985852,2022.92098534077,"1","Summer"
"9",120,"MN","inter",1861.33355543783,165.670431065553,23.93908766765,1548.93633962507,2236.7366017363,"1","Summer"
"10",160,"MN","inter",2035.58567429107,218.194551544245,46.3638589435568,1640.60792960418,2525.65464460406,"1","Summer"
"11",0,"NY","inter",1723.2294503238,195.360581551573,54.8618131061124,1372.99015271567,2162.81211674371,"1","Summer"
"12",40,"NY","inter",2133.53336573387,197.023560791813,27.3432467442003,1765.46140871622,2578.34274950804,"1","Summer"
"13",80,"NY","inter",2641.53135372911,219.173083509828,18.2560955022697,2219.35422133047,3144.01722161816,"1","Summer"
"14",120,"NY","inter",3270.48454212191,291.093760333093,23.9390876676499,2721.5822444479,3930.09219621367,"1","Summer"
"15",160,"NY","inter",4049.1925735269,436.8838689232,47.3135285827732,3259.26133626452,5030.57558320777,"1","Summer"
"16",0,"WI","inter",5336.8192923779,572.053982733307,46.3638589435567,4301.28201456765,6621.66304442137,"1","Summer"
"17",40,"WI","inter",5541.0694131606,493.190140778681,23.9390876676499,4611.08313948089,6658.61996253674,"1","Summer"
"18",80,"WI","inter",5753.13657056272,472.070286136202,17.5054689795619,4840.43944712034,6837.92882054068,"1","Summer"
"19",120,"WI","inter",5973.31993729112,531.663164838127,23.93908766765,4970.7868275661,7178.04893087928,"1","Summer"
"20",160,"WI","inter",6201.93013595532,664.7852663803,46.3638589435567,4998.52985232028,7695.05005425067,"1","Summer"
"21",0,"KS","monoI",11257.4192819902,1206.68345371159,46.3638589435575,9073.07001329938,13967.6524819894,"1","Summer"
"22",40,"KS","monoI",11431.911553629,1017.51226128167,23.9390876676502,9513.23484448249,13737.5565626653,"1","Summer"
"23",80,"KS","monoI",11609.1084907066,952.578667267416,17.5054689795619,9767.40009473119,13798.083281312,"1","Summer"
"24",120,"KS","monoI",11789.0520160833,1049.3000159229,23.9390876676499,9810.43458013962,14166.7268970198,"1","Summer"
"25",160,"KS","monoI",11971.7847024322,1283.25632633526,46.3638589435563,9648.82252925298,14854.001980746,"1","Summer"
"26",0,"MN","monoI",2121.4156467495,204.668411240016,32.1502664539545,1742.98969028664,2582.0028491009,"1","Summer"
"27",40,"MN","monoI",2408.8226170368,200.850382286148,18.6046235578454,2022.56799636261,2868.84120127635,"1","Summer"
"28",80,"MN","monoI",2735.1671555919,220.355034641905,16.2852680478943,2306.30822006485,3243.77258162757,"1","Summer"
"29",120,"MN","monoI",3105.72447971764,276.429075177034,23.9390876676501,2584.47471354281,3732.10250167055,"1","Summer"
"30",160,"MN","monoI",3526.48448713551,373.994977549619,44.7518612788235,2848.1414749503,4366.38873011898,"1","Summer"
"31",0,"NY","monoI",4217.30304765253,452.052968750233,46.3638589435565,3398.99268741526,5232.6223182505,"1","Summer"
"32",40,"NY","monoI",5081.96759453286,452.327182082841,23.93908766765,4229.03474821703,6106.92419653695,"1","Summer"
"33",80,"NY","monoI",6123.91244832588,502.494085842896,17.5054689795619,5152.39418046503,7278.61696159588,"1","Summer"
"34",120,"NY","monoI",7379.48500795351,656.820728739222,23.93908766765,6140.94795806164,8867.8163948811,"1","Summer"
"35",160,"NY","monoI",8892.48490113499,953.185994390957,46.3638589435565,7167.01901911764,11033.3581515526,"1","Summer"
"36",0,"WI","monoI",8774.71305898084,940.562023507337,46.3638589435567,7072.09920288859,10887.2326389313,"1","Summer"
"37",40,"WI","monoI",9075.58730792647,807.784535493191,23.9390876676499,7552.38465648391,10905.9970764442,"1","Summer"
"38",80,"WI","monoI",9386.77816928662,770.226641054476,17.5054689795618,7897.62780262643,11156.7177640473,"1","Summer"
"39",120,"WI","monoI",9708.63938716573,864.130164973794,23.93908766765,8079.18833847,11666.7262602614,"1","Summer"
"40",160,"WI","monoI",10041.5368351236,1076.35294069254,46.3638589435567,8093.11303630275,12459.0453091222,"1","Summer"
