"","N","P","CROP","response","SE","df","lower.CL","upper.CL","Year","Harvest"
"1",0,"KS","inter",9330.6566042959,759.786481307031,126.660651316741,7942.02154375028,10962.0897132671,"1","Summer"
"2",40,"KS","inter",9535.60597140646,581.554290589699,56.8056536436179,8439.28890242355,10774.3415699171,"1","Summer"
"3",80,"KS","inter",9745.05708419906,555.992093582389,44.1943558528197,8686.67449997461,10932.3927786837,"1","Summer"
"4",120,"KS","inter",9959.1088242388,720.753209542886,91.2718104003675,8625.61919340772,11498.7511445942,"1","Summer"
"5",160,"KS","inter",10177.8622450402,1000.69131961705,165.177433196454,8382.01452512966,12358.4705763096,"1","Summer"
"6",0,"MN","inter",3721.48485662952,296.689490537252,121.582176892824,3178.14229982419,4357.7185133872,"1","Summer"
"7",40,"MN","inter",3792.47251817508,230.479198575117,56.1820717144934,3357.79440395134,4283.42121965178,"1","Summer"
"8",80,"MN","inter",3864.81427581018,204.719821038701,34.4432698644789,3470.56124335609,4303.85414321692,"1","Summer"
"9",120,"MN","inter",3938.53595904071,239.355883806322,56.1820717144936,3487.11663424043,4448.39307878085,"1","Summer"
"10",160,"MN","inter",4013.66389007267,319.983001573173,121.582176892823,3427.66274155143,4699.84915003096,"1","Summer"
"11",0,"NY","inter",6934.48698123212,594.087631418491,138.768932890042,5853.95144866603,8214.47019411744,"1","Summer"
"12",40,"NY","inter",6852.92836706973,440.434233954469,66.799739872329,6027.8267802569,7790.9715916202,"1","Summer"
"13",80,"NY","inter",6772.3289886175,365.65221174969,36.8433022999427,6070.43924513596,7555.37417935918,"1","Summer"
"14",120,"NY","inter",6692.677564012,406.732798690763,56.1820717144936,5925.58948395595,7559.06785259216,"1","Summer"
"15",160,"NY","inter",6613.96294407922,531.802587630033,123.654425947346,5640.83750130794,7754.96649487066,"1","Summer"
"16",0,"WI","inter",7398.95330795908,589.869842822749,121.582176892828,6318.69465774097,8663.89547503956,"1","Summer"
"17",40,"WI","inter",7447.58251105737,452.610490977676,56.1820717144944,6593.97022885423,8411.69785940109,"1","Summer"
"18",80,"WI","inter",7496.53132684893,397.092445359956,34.443269864479,6731.80371057098,8348.1313999366,"1","Summer"
"19",120,"WI","inter",7545.80185597011,458.579556222466,56.1820717144936,6680.93206315289,8522.63203866363,"1","Summer"
"20",160,"WI","inter",7595.39621286365,605.530942523845,121.582176892824,6486.45659407275,8893.92271322681,"1","Summer"
"21",0,"KS","monoA",7425.62921633455,636.253997900671,138.642449865399,6268.40573843006,8796.49013790407,"1","Summer"
"22",40,"KS","monoA",7742.40671270907,497.65583934342,66.761089103368,6810.10437248255,8802.34111348138,"1","Summer"
"23",80,"KS","monoA",8072.6979436488,435.879006280682,36.8383564458471,7236.00212959356,9006.14053482209,"1","Summer"
"24",120,"KS","monoA",8417.07940535059,511.529538155183,56.1820717144926,7452.34724561703,9506.6994841987,"1","Summer"
"25",160,"KS","monoA",8776.15218735096,705.66819109151,123.640125757684,7484.87706597437,10290.1953548009,"1","Summer"
"26",0,"MN","monoA",3843.27975598604,306.399396134677,121.582176892824,3282.15495511103,4500.33575037973,"1","Summer"
"27",40,"MN","monoA",3640.36093101847,221.234950519573,56.1820717144936,3223.11724184065,4111.61826074859,"1","Summer"
"28",80,"MN","monoA",3448.15588494302,182.649360435593,34.4432698644793,3096.40653374601,3839.86368627218,"1","Summer"
"29",120,"MN","monoA",3266.09894792514,198.48999943368,56.1820717144934,2891.75167849907,3688.9067678088,"1","Summer"
"30",160,"MN","monoA",3093.65431656347,246.636694341105,121.582176892823,2641.97599164995,3622.55261237811,"1","Summer"
"31",0,"NY","monoA",6121.53226239834,488.029471624186,121.582176892824,5227.77906464108,7168.08357358469,"1","Summer"
"32",40,"NY","monoA",5961.90746752301,362.321849007075,56.1820717144934,5278.57734904759,6733.69703632737,"1","Summer"
"33",80,"NY","monoA",5806.44504148716,307.568308574187,34.4432698644785,5214.1245825941,6466.05263947055,"1","Summer"
"34",120,"NY","monoA",5655.03644655163,343.672435823339,56.1820717144934,5006.87866381932,6387.10049894297,"1","Summer"
"35",160,"NY","monoA",5507.57597520232,439.082778280578,121.582176892822,4703.46134691486,6449.16389979953,"1","Summer"
"36",0,"WI","monoA",5647.64844563093,450.249834305467,121.582176892824,4823.08301956981,6613.1834836802,"1","Summer"
"37",40,"WI","monoA",5736.85270110886,348.644639231642,56.1820717144936,5079.31746473032,6479.50815099671,"1","Summer"
"38",80,"WI","monoA",5827.46593224667,308.681788469273,34.4432698644787,5233.00111418514,6489.4614869165,"1","Summer"
"39",120,"WI","monoA",5919.51039372714,359.745259844312,56.1820717144938,5241.03965920187,6685.81151450011,"1","Summer"
"40",160,"WI","monoA",6013.0086917444,479.377601704242,121.582176892825,5135.10010349771,7041.00656233875,"1","Summer"
"41",0,"KS","monoI",11257.4192819907,897.479936157255,121.582176892818,9613.81861952658,13182.013714419,"1","Summer"
"42",40,"KS","monoI",11431.9115536295,694.74934898935,56.1820717144926,10121.6313255488,12911.8120949659,"1","Summer"
"43",80,"KS","monoI",11609.108490707,614.936305610233,34.4432698644785,10424.8533364046,12927.8941007612,"1","Summer"
"44",120,"KS","monoI",11789.0520160837,716.453777214131,56.1820717144926,10437.8377688404,13315.185627125,"1","Summer"
"45",160,"KS","monoI",11971.7847024326,954.431588740433,121.582176892819,10223.8855814258,14018.5086990587,"1","Summer"
"46",0,"MN","monoI",2148.29082314312,147.556014051159,82.195813843678,1873.93496258109,2462.81410665618,"1","Summer"
"47",40,"MN","monoI",2429.12403189281,132.276152893933,37.9824383142814,2175.57315768631,2712.22484128937,"1","Summer"
"48",80,"MN","monoI",2746.66888614553,140.69329008621,30.3464301801565,2473.97730102901,3049.41761873969,"1","Summer"
"49",120,"MN","monoI",3105.72447971765,188.743592906743,56.1820717144934,2749.75869389522,3507.77126928688,"1","Summer"
"50",160,"MN","monoI",3511.71726325311,275.928173317536,117.607090340653,3005.6766427806,4102.95570771087,"1","Summer"
"51",0,"NY","monoI",4217.30304765257,336.217811129952,121.582176892824,3601.57026651484,4938.30292889175,"1","Summer"
"52",40,"NY","monoI",5081.9675945329,308.845433357624,56.1820717144938,4499.49268404873,5739.84589939225,"1","Summer"
"53",80,"NY","monoI",6123.91244832595,324.384607127119,34.443269864479,5499.20686587471,6819.58409447767,"1","Summer"
"54",120,"NY","monoI",7379.4850079536,448.472014597132,56.1820717144936,6533.67779067596,8334.78489868689,"1","Summer"
"55",160,"NY","monoI",8892.48490113512,708.93928541132,121.582176892824,7594.16832356573,10412.7646830702,"1","Summer"
"56",0,"WI","monoI",8774.71305898087,699.550111682418,121.582176892824,7493.59135289451,10274.8582944423,"1","Summer"
"57",40,"WI","monoI",9075.58730792647,551.548911509564,56.1820717144938,8035.37959183188,10250.4535152917,"1","Summer"
"58",80,"WI","monoI",9386.77816928667,497.219118386618,34.4432698644791,8429.22484482859,10453.1087996133,"1","Summer"
"59",120,"WI","monoI",9708.63938716574,590.021263037529,56.1820717144938,8595.87375992207,10965.4563785591,"1","Summer"
"60",160,"WI","monoI",10041.5368351236,800.545632347968,121.582176892825,8575.45689433558,11758.261192794,"1","Summer"
