"","N","P","CROP","response","SE","df","lower.CL","upper.CL","Year","Harvest"
"1",0,"MN","inter",2215.30044598226,262.280931183285,66.3656239495007,1748.97290593671,2805.96460317424,"2","Fall"
"2",40,"MN","inter",2051.48910327231,185.19151531356,30.9007607826559,1706.47783623817,2466.25385426783,"2","Fall"
"3",80,"MN","inter",1899.79086063829,149.503338324465,18.8638919212348,1611.1586538113,2240.13029730309,"2","Fall"
"4",120,"MN","inter",1759.31000969382,158.815996673741,30.9007607826554,1463.43625897191,2115.00274865629,"2","Fall"
"5",160,"MN","inter",1629.21707559376,192.891475493279,66.3656239494996,1286.26188301943,2063.61419431581,"2","Fall"
"6",0,"NY","inter",1598.30612235821,189.231767116889,66.365623949499,1261.85778026953,2024.46147316387,"2","Fall"
"7",40,"NY","inter",1395.7040529055,125.992649960733,30.9007607826551,1160.98010388256,1677.88388171542,"2","Fall"
"8",80,"NY","inter",1218.78392133211,95.9117493986218,18.8638919212345,1033.61601672331,1437.12386695271,"2","Fall"
"9",120,"NY","inter",1064.29027257273,96.0753474131726,30.9007607826553,885.302173222498,1279.46572204817,"2","Fall"
"10",160,"NY","inter",929.380314645852,110.034164797293,66.3656239494993,733.74290723162,1177.18040029866,"2","Fall"
"11",0,"WI","inter",1949.2769763865,230.785030277957,66.3656239494993,1538.94819280577,2469.0114640851,"2","Fall"
"12",40,"WI","inter",1726.97123302256,155.896718649995,30.9007607826551,1436.53608896734,2076.12580191522,"2","Fall"
"13",80,"WI","inter",1530.01839954843,120.404231418132,18.8638919212343,1297.56513519322,1804.11467560597,"2","Fall"
"14",120,"WI","inter",1355.52709749517,122.365805810668,30.900760782655,1127.55994882256,1629.58405356843,"2","Fall"
"15",160,"WI","inter",1200.93569631973,142.185017519067,66.365623949499,948.135047977262,1521.14042168552,"2","Fall"
"16",0,"MN","monoA",2243.70702251354,265.644133388144,66.3656239494984,1771.39981096159,2841.94520724476,"2","Fall"
"17",40,"MN","monoA",2173.00261768053,196.160753136193,30.9007607826549,1807.55569173849,2612.33465614822,"2","Fall"
"18",80,"MN","monoA",2104.52627239925,165.614915743683,18.8638919212344,1784.78893977313,2481.54318559463,"2","Fall"
"19",120,"MN","monoA",2038.20777535291,183.992586574992,30.9007607826551,1695.43010915343,2450.28734188481,"2","Fall"
"20",160,"MN","monoA",1973.97912774592,233.709646337386,66.3656239494993,1558.45046552202,2500.29993444247,"2","Fall"
"21",0,"NY","monoA",1523.22426534432,180.34243591656,66.3656239494996,1202.58088449547,1929.36058808814,"2","Fall"
"22",40,"NY","monoA",1530.29688239097,138.14258046877,30.9007607826553,1272.93764734072,1839.68834070372,"2","Fall"
"23",80,"NY","monoA",1537.40233893016,120.985307793657,18.8638919212345,1303.82724439724,1812.82141626105,"2","Fall"
"24",120,"NY","monoA",1544.54078744184,139.428402731313,30.9007607826552,1284.78606916855,1856.81204156836,"2","Fall"
"25",160,"NY","monoA",1551.71238111393,183.715291975548,66.3656239494996,1225.07216449887,1965.44447215254,"2","Fall"
"26",0,"WI","monoA",1495.53998778174,177.064750439894,66.365623949499,1180.72423229049,1894.29486910365,"2","Fall"
"27",40,"WI","monoA",1459.20970221167,131.725416177829,30.9007607826552,1213.80562600892,1754.22893863982,"2","Fall"
"28",80,"WI","monoA",1423.76196719884,112.042420818952,18.8638919212344,1207.45207377675,1678.82285621608,"2","Fall"
"29",120,"WI","monoA",1389.17534345442,125.403291921073,30.900760782655,1155.54936678543,1670.03521470498,"2","Fall"
"30",160,"WI","monoA",1355.42891250177,160.476272177195,66.3656239494987,1070.10696819398,1716.82606641311,"2","Fall"
