"","N","P","CROP","response","SE","df","lower.CL","upper.CL","Year","Harvest"
"1",0,"MN","inter",2802.9080165473,359.525504134966,135.073883276363,2174.89980454626,3612.25530150991,"2","Fall"
"2",40,"MN","inter",2936.90958430422,273.286919002937,75.7780414462405,2440.05084475163,3534.94187423622,"2","Fall"
"3",80,"MN","inter",3077.31750576783,239.571586202976,44.3825998897852,2630.56465516518,3599.94308169191,"2","Fall"
"4",120,"MN","inter",3224.4380562191,300.04217583318,75.7780414462462,2678.93599618274,3881.01873027532,"2","Fall"
"5",160,"MN","inter",3378.59215336307,433.367788037731,135.073883276362,2621.59848650417,4354.1697927923,"2","Fall"
"6",0,"NY","inter",2097.5045151326,269.044279646882,135.073883276353,1627.54615316138,2703.16462759345,"2","Fall"
"7",40,"NY","inter",1999.34925900972,186.044542169667,75.7780414462432,1661.10454147874,2406.46952656223,"2","Fall"
"8",80,"NY","inter",1905.78729660089,148.367038746051,44.3825998897839,1629.11259345344,2229.45009109902,"2","Fall"
"9",120,"NY","inter",1816.60367918123,169.039600396981,75.7780414462436,1509.27538445661,2186.51212442778,"2","Fall"
"10",160,"NY","inter",1731.59351681096,222.109333739462,135.073883276357,1343.61969034746,2231.5958369785,"2","Fall"
"11",0,"WI","inter",2510.18585331274,321.978398526416,135.073883276355,1947.76378301193,3235.00882043705,"2","Fall"
"12",40,"WI","inter",2436.47393636539,226.720107033195,75.7780414462443,2024.27760065079,2932.60432298383,"2","Fall"
"13",80,"WI","inter",2364.92657894373,184.111392701339,44.3825998897845,2021.59584084835,2766.56570556034,"2","Fall"
"14",120,"WI","inter",2295.48021849052,213.600282383939,75.7780414462443,1907.13683396057,2762.90056363633,"2","Fall"
"15",160,"WI","inter",2228.07315897085,285.792156217585,135.073883276357,1728.8601157628,2871.4353211486,"2","Fall"
"16",0,"MN","monoA",2243.70702251354,287.797492332284,135.073883276365,1740.99111919301,2891.58350515313,"2","Fall"
"17",40,"MN","monoA",2173.00261768053,202.203429599939,75.7780414462459,1805.37967571617,2615.48329138763,"2","Fall"
"18",80,"MN","monoA",2104.52627239925,163.839024195434,44.3825998897844,1798.99942650171,2461.9412135285,"2","Fall"
"19",120,"MN","monoA",2038.20777535291,189.660426112846,75.778041446244,1693.38907489977,2453.24066222345,"2","Fall"
"20",160,"MN","monoA",1973.97912774593,253.199832768326,135.07388327636,1531.6973635123,2543.97094987575,"2","Fall"
"21",0,"NY","monoA",1523.22426534431,195.382070576522,135.073883276356,1181.93680899251,1963.05939952195,"2","Fall"
"22",40,"NY","monoA",1530.29688239097,142.398023549478,75.7780414462443,1271.40522832387,1841.905708806,"2","Fall"
"23",80,"NY","monoA",1537.40233893016,119.687980287808,44.3825998897844,1314.20831486443,1798.50174817358,"2","Fall"
"24",120,"NY","monoA",1544.54078744183,143.723455202779,75.778041446244,1283.23938649396,1859.05004879046,"2","Fall"
"25",160,"NY","monoA",1551.71238111392,199.036205540445,135.073883276356,1204.04199298479,1999.77353591575,"2","Fall"
"26",0,"WI","monoA",1495.53998778175,191.831042933612,135.073883276356,1160.45535847599,1927.38121179567,"2","Fall"
"27",40,"WI","monoA",1459.20970221167,135.783180329368,75.7780414462447,1212.34439275218,1756.34330290827,"2","Fall"
"28",80,"WI","monoA",1423.76196719884,110.840988041691,44.3825998897842,1217.0658052872,1665.56165692584,"2","Fall"
"29",120,"WI","monoA",1389.17534345442,129.266304824789,75.7780414462447,1154.15826500737,1672.04810065575,"2","Fall"
"30",160,"WI","monoA",1355.42891250177,173.859170621876,135.073883276357,1051.73700295301,1746.81268386238,"2","Fall"
"31",0,"MN","monoI",1073.11157425457,137.646678895373,135.073883276365,832.674543482723,1382.97544918644,"2","Fall"
"32",40,"MN","monoI",1105.64176304246,102.882782826438,75.7780414462459,918.592159705033,1330.77960144595,"2","Fall"
"33",80,"MN","monoI",1139.15806847279,88.6843508635136,44.3825998897841,973.779581065057,1332.62303934053,"2","Fall"
"34",120,"MN","monoI",1173.69038357936,109.214880330671,75.7780414462436,975.128491266832,1412.68471677721,"2","Fall"
"35",160,"MN","monoI",1209.26950757016,155.111486633718,135.073883276358,938.325482010584,1558.44935470108,"2","Fall"
"36",0,"NY","monoI",616.554643951089,79.0846927136526,135.073883276355,478.411908883516,794.586468101928,"2","Fall"
"37",40,"NY","monoI",622.456966417993,57.9212065204222,75.7780414462432,517.151312674672,749.205630047444,"2","Fall"
"38",80,"NY","monoI",628.415792247323,48.9226632810926,44.3825998897833,537.184859454716,735.140614995536,"2","Fall"
"39",120,"NY","monoI",634.43166234988,59.0354824840787,75.7780414462428,527.100160633901,763.618690056883,"2","Fall"
"40",160,"NY","monoI",640.505122814643,82.156790669368,135.073883276353,496.996140507106,825.452712637182,"2","Fall"
"41",0,"WI","monoI",265.08286909689,34.0018479332774,135.073883276356,205.689475638793,341.626265857358,"2","Fall"
"42",40,"WI","monoI",289.527862947506,26.9413052595474,75.7780414462436,240.546290679071,348.483375845476,"2","Fall"
"43",80,"WI","monoI",316.227086678735,24.618527212085,44.3825998897833,270.3184821403,369.932420297546,"2","Fall"
"44",120,"WI","monoI",345.388417305629,32.1392721550604,75.7780414462428,286.956501459231,415.718613107763,"2","Fall"
"45",160,"WI","monoI",377.238901517886,48.3879618763275,135.073883276356,292.716281923926,486.167656554911,"2","Fall"
