"","N","P","CROP","emmean","SE","df","lower.CL","upper.CL","Year","Harvest"
"1",0,"MN","inter",1324.68870367499,333.917520048736,53.8914464838213,655.19349864991,1994.18390870007,"2","Summer"
"2",40,"MN","inter",1137.14951175749,269.072804118194,26.0117332450161,584.074583835635,1690.22443967935,"2","Summer"
"3",80,"MN","inter",949.610319839993,243.652611634279,17.8577077074855,437.422652064163,1461.79798761582,"2","Summer"
"4",120,"MN","inter",762.071127922494,269.072804118194,26.011733245014,208.996200000635,1315.14605584435,"2","Summer"
"5",160,"MN","inter",574.531936004995,333.917520048735,53.8914464838134,-94.9632690200878,1244.02714103008,"2","Summer"
"6",0,"NY","inter",3123.14273709999,333.917520048734,53.8914464838129,2453.64753207491,3792.63794212507,"2","Summer"
"7",40,"NY","inter",2741.18334622499,269.072804118193,26.0117332450134,2188.10841830313,3294.25827414685,"2","Summer"
"8",80,"NY","inter",2359.22395534999,243.652611634278,17.8577077074846,1847.03628757416,2871.41162312582,"2","Summer"
"9",120,"NY","inter",1977.264564475,269.072804118193,26.0117332450134,1424.18963655314,2530.33949239685,"2","Summer"
"10",160,"NY","inter",1595.3051736,333.917520048735,53.8914464838127,925.809968574916,2264.80037862508,"2","Summer"
"11",0,"KS","inter",826.509186266662,385.574740174538,53.891446483813,53.4427125818726,1599.57565995145,"2","Summer"
"12",40,"KS","inter",784.251968429997,310.698511778492,26.0117332450134,145.616051394562,1422.88788546543,"2","Summer"
"13",80,"KS","inter",741.994750593331,281.345801831611,17.8577077074847,150.571374861368,1333.4181263253,"2","Summer"
"14",120,"KS","inter",699.737532756666,310.698511778492,26.0117332450135,61.101615721231,1338.3734497921,"2","Summer"
"15",160,"KS","inter",657.48031492,385.574740174538,53.8914464838129,-115.58615876479,1430.54678860479,"2","Summer"
"16",0,"WI","inter",2602.61748108999,333.917520048735,53.8914464838123,1933.12227606491,3272.11268611508,"2","Summer"
"17",40,"WI","inter",2246.7020427425,269.072804118193,26.0117332450132,1693.62711482064,2799.77697066435,"2","Summer"
"18",80,"WI","inter",1890.786604395,243.652611634278,17.8577077074845,1378.59893661917,2402.97427217083,"2","Summer"
"19",120,"WI","inter",1534.8711660475,269.072804118193,26.0117332450132,981.796238125642,2087.94609396936,"2","Summer"
"20",160,"WI","inter",1178.9557277,333.917520048735,53.8914464838125,509.460522674919,1848.45093272509,"2","Summer"
"21",0,"MN","monoA",2350.76099646905,336.108173057242,54.8733871177418,1677.15023032049,3024.37176261762,"2","Summer"
"22",40,"MN","monoA",2235.89492104356,271.786621665614,26.9455478762315,1678.18210177896,2793.60774030816,"2","Summer"
"23",80,"MN","monoA",2121.02884561806,246.646283078793,18.6859350884597,1604.20435203632,2637.8533391998,"2","Summer"
"24",120,"MN","monoA",2006.16277019257,271.786621665614,26.945547876232,1448.44995092796,2563.87558945717,"2","Summer"
"25",160,"MN","monoA",1891.29669476707,336.108173057243,54.8733871177432,1217.6859286185,2564.90746091564,"2","Summer"
"26",0,"NY","monoA",4068.33180315,333.917520048735,53.8914464838125,3398.83659812492,4737.82700817508,"2","Summer"
"27",40,"NY","monoA",3933.62943825,269.072804118193,26.0117332450132,3380.55451032814,4486.70436617186,"2","Summer"
"28",80,"NY","monoA",3798.92707335,243.652611634278,17.8577077074846,3286.73940557417,4311.11474112583,"2","Summer"
"29",120,"NY","monoA",3664.22470845,269.072804118193,26.0117332450134,3111.14978052814,4217.29963637186,"2","Summer"
"30",160,"NY","monoA",3529.52234355,333.917520048735,53.8914464838121,2860.02713852491,4199.01754857508,"2","Summer"
"31",0,"KS","monoA",1469.55380566666,385.574740174539,53.8914464838132,696.487331981874,2242.62027935145,"2","Summer"
"32",40,"KS","monoA",1743.08836393333,310.698511778492,26.0117332450135,1104.4524468979,2381.72428096877,"2","Summer"
"33",80,"KS","monoA",2016.6229222,281.345801831611,17.8577077074847,1425.19954646803,2608.04629793196,"2","Summer"
"34",120,"KS","monoA",2290.15748046667,310.698511778492,26.0117332450134,1651.52156343123,2928.7933975021,"2","Summer"
"35",160,"KS","monoA",2563.69203873333,385.574740174538,53.891446483813,1790.62556504854,3336.75851241812,"2","Summer"
"36",0,"WI","monoA",4073.6056043,333.917520048735,53.8914464838127,3404.11039927492,4743.10080932509,"2","Summer"
"37",40,"WI","monoA",4182.425138525,269.072804118193,26.0117332450133,3629.35021060314,4735.50006644686,"2","Summer"
"38",80,"WI","monoA",4291.24467275,243.652611634278,17.8577077074846,3779.05700497417,4803.43234052583,"2","Summer"
"39",120,"WI","monoA",4400.064206975,269.072804118193,26.0117332450134,3846.98927905314,4953.13913489686,"2","Summer"
"40",160,"WI","monoA",4508.8837412,333.917520048735,53.8914464838123,3839.38853617491,5178.37894622508,"2","Summer"
