"","N","P","CROP","response","SE","df","lower.CL","upper.CL","Year","Harvest"
"1",0,"KS","inter",1606.709026469,159.268007482084,134,1320.66099275066,1954.71351838766,"1","Fall"
"2",40,"KS","inter",1668.86063079841,116.975897242322,134,1452.82344063712,1917.02289977335,"1","Fall"
"3",80,"KS","inter",1733.41641775023,99.2050068757557,134,1547.90358887779,1941.16254973247,"1","Fall"
"4",120,"KS","inter",1800.46938724209,126.200785220283,134,1567.39519266113,2068.20209068788,"1","Fall"
"5",160,"KS","inter",1870.11613666566,185.378725046067,134,1537.17281282451,2275.17318510925,"1","Fall"
"6",0,"MN","inter",3388.09695340477,290.85583081746,134,2859.02091173915,4015.08114842288,"1","Fall"
"7",40,"MN","inter",3613.73359246021,219.362850055696,134,3204.90485591219,4074.71393516875,"1","Fall"
"8",80,"MN","inter",3854.39692454848,191.037116274566,134,3494.48752701852,4251.37463994446,"1","Fall"
"9",120,"MN","inter",4111.08768033301,249.553512264515,134,3645.99230482016,4635.51222887716,"1","Fall"
"10",160,"MN","inter",4384.87323600325,376.425458192786,134,3700.14331037974,5196.31584049224,"1","Fall"
"11",0,"NY","inter",2328.72324997653,199.912441978735,134,1965.07613592504,2759.66507141385,"1","Fall"
"12",40,"NY","inter",2874.11365824457,174.466032795546,134,2548.9595688432,3240.74552671578,"1","Fall"
"13",80,"NY","inter",3547.23530182954,175.813133954345,134,3216.00752602697,3912.57737574094,"1","Fall"
"14",120,"NY","inter",4378.00302380215,265.755954688369,134,3882.7109943734,4936.47621576685,"1","Fall"
"15",160,"NY","inter",5403.33776745373,463.856943043141,134,4559.56717968648,6403.25229974994,"1","Fall"
"16",0,"WI","inter",2898.07795016506,248.789477267453,134,2445.52194855156,3434.3816910772,"1","Fall"
"17",40,"WI","inter",3400.21401058555,206.40166660807,134,3015.54116119761,3833.9570577079,"1","Fall"
"18",80,"WI","inter",3989.35277676841,197.725990652882,134,3616.84169850437,4400.23006372963,"1","Fall"
"19",120,"WI","inter",4680.56879007128,284.122468743684,134,4151.04690479357,5277.63831656314,"1","Fall"
"20",160,"WI","inter",5491.54848529985,471.429513125693,134,4634.00315080241,6507.78684972995,"1","Fall"
"21",0,"KS","monoI",2865.23662512652,284.021886185249,134,2355.12851640666,3485.83139339342,"1","Fall"
"22",40,"KS","monoI",2946.755885394,206.547753171663,134,2565.29271835458,3384.94324097011,"1","Fall"
"23",80,"KS","monoI",3030.59446188699,173.44369266984,134,2706.25569018001,3393.8045195608,"1","Fall"
"24",120,"KS","monoI",3116.81834180575,218.467986688395,134,2713.34026557793,3580.29425909381,"1","Fall"
"25",160,"KS","monoI",3205.49538976192,317.750666305998,134,2634.8098217909,3899.78836757212,"1","Fall"
"26",0,"MN","monoI",4540.37417742652,389.774649828258,134,3831.36164605265,5380.59300465165,"1","Fall"
"27",40,"MN","monoI",4917.54236069095,298.507369154567,134,4361.21119271629,5544.84105460816,"1","Fall"
"28",80,"MN","monoI",5326.04184681897,263.976880298376,134,4828.71566328573,5874.58937989414,"1","Fall"
"29",120,"MN","monoI",5768.47532231142,350.161171210387,134,5115.87644707903,6504.32196483455,"1","Fall"
"30",160,"MN","monoI",6247.66167843572,536.33908744014,134,5272.04375605868,7403.82255047424,"1","Fall"
"31",0,"NY","monoI",3102.76948158142,266.36150258142,134,2618.2494049448,3676.95240860219,"1","Fall"
"32",40,"NY","monoI",3714.40276983967,225.473725995415,134,3294.18513271435,4188.22482063244,"1","Fall"
"33",80,"NY","monoI",4446.60424130531,220.388939723103,134,4031.3967043364,4904.5754434254,"1","Fall"
"34",120,"NY","monoI",5323.14089342761,323.128235038307,134,4720.92357157862,6002.17913754664,"1","Fall"
"35",160,"NY","monoI",6372.46479191127,547.05298192361,134,5377.35795343376,7551.72110092057,"1","Fall"
"36",0,"WI","monoI",3792.36680331159,325.560930667373,134,3200.16107707821,4494.1631450598,"1","Fall"
"37",40,"WI","monoI",4524.7982968147,274.666802330797,134,4012.89903155591,5101.99720099086,"1","Fall"
"38",80,"WI","monoI",5398.68654292064,267.577400309047,134,4894.57706505641,5954.71600535041,"1","Fall"
"39",120,"WI","monoI",6441.35152040479,391.006473381074,134,5712.62884719966,7263.03257558209,"1","Fall"
"40",160,"WI","monoI",7685.3895997775,659.762813148785,134,6485.25998010348,9107.60917551153,"1","Fall"
