"","N","P","CROP","emmean","SE","df","lower.CL","upper.CL","Year","Harvest"
"1",0,"MN","inter",1689.33379091705,229.192198374633,63.2948349785721,1231.3714775493,2147.2961042848,"3","Fall"
"2",40,"MN","inter",1797.36926527206,174.705281324939,30.0760754730848,1440.61132217612,2154.127208368,"3","Fall"
"3",80,"MN","inter",1905.40473962706,152.270239481771,18.5885214729957,1586.22129628839,2224.58818296573,"3","Fall"
"4",120,"MN","inter",2013.44021398207,174.70528132494,30.0760754730844,1656.68227088613,2370.19815707801,"3","Fall"
"5",160,"MN","inter",2121.47568833707,229.192198374634,63.2948349785706,1663.51337496932,2579.43800170482,"3","Fall"
"6",0,"NY","inter",794.893256429997,227.434052432053,62.348368988767,340.309588857838,1249.47692400216,"3","Fall"
"7",40,"NY","inter",726.650064409248,172.392342442159,28.8315488892984,373.978634307539,1079.32149451096,"3","Fall"
"8",80,"NY","inter",658.406872388498,149.61086271292,17.4625362281559,343.39123525231,973.422509524686,"3","Fall"
"9",120,"NY","inter",590.163680367749,172.392342442159,28.8315488892981,237.49225026604,942.835110469458,"3","Fall"
"10",160,"NY","inter",521.920488346999,227.434052432053,62.3483689887663,67.3368207748401,976.504155919157,"3","Fall"
"11",0,"WI","inter",1291.39344259,227.434052432053,62.3483689887675,836.809775017838,1745.97711016215,"3","Fall"
"12",40,"WI","inter",1249.5901638825,172.392342442159,28.8315488892984,896.918733780789,1602.26159398421,"3","Fall"
"13",80,"WI","inter",1207.786885175,149.61086271292,17.4625362281559,892.771248038811,1522.80252231119,"3","Fall"
"14",120,"WI","inter",1165.9836064675,172.392342442159,28.8315488892981,813.312176365791,1518.65503656921,"3","Fall"
"15",160,"WI","inter",1124.18032776,227.434052432053,62.3483689887668,669.596660187842,1578.76399533216,"3","Fall"
"16",0,"MN","monoA",1952.66471243436,234.580052663655,66.1191483648307,1484.32627860696,2421.00314626175,"3","Fall"
"17",40,"MN","monoA",1970.25415553827,177.697054674745,31.709950603841,1608.16720905534,2332.3411020212,"3","Fall"
"18",80,"MN","monoA",1987.84359864218,152.344341763022,18.6192045683592,1668.5412751667,2307.14592211766,"3","Fall"
"19",120,"MN","monoA",2005.43304174609,172.989788106324,29.1506943165583,1651.70862764488,2359.1574558473,"3","Fall"
"20",160,"MN","monoA",2023.02248485,227.434052432053,62.348368988766,1568.43881727784,2477.60615242216,"3","Fall"
"21",0,"NY","monoA",663.831883314999,227.434052432053,62.3483689887663,209.24821574284,1118.41555088716,"3","Fall"
"22",40,"NY","monoA",689.406934424999,172.392342442159,28.831548889298,336.73550432329,1042.07836452671,"3","Fall"
"23",80,"NY","monoA",714.981985534999,149.61086271292,17.4625362281558,399.96634839881,1029.99762267119,"3","Fall"
"24",120,"NY","monoA",740.557036644999,172.392342442159,28.8315488892981,387.885606543289,1093.22846674671,"3","Fall"
"25",160,"NY","monoA",766.132087754998,227.434052432054,62.3483689887665,311.548420182838,1220.71575532716,"3","Fall"
"26",0,"WI","monoA",1468.852459105,227.434052432053,62.3483689887668,1014.26879153284,1923.43612667716,"3","Fall"
"27",40,"WI","monoA",1434.6311475825,172.392342442159,28.8315488892982,1081.95971748079,1787.30257768421,"3","Fall"
"28",80,"WI","monoA",1400.40983606,149.61086271292,17.4625362281558,1085.39419892381,1715.42547319619,"3","Fall"
"29",120,"WI","monoA",1366.1885245375,172.392342442159,28.8315488892983,1013.51709443579,1718.85995463921,"3","Fall"
"30",160,"WI","monoA",1331.967213015,227.434052432053,62.3483689887665,877.38354544284,1786.55088058716,"3","Fall"
