"","N","P","CROP","emmean","SE","df","lower.CL","upper.CL","Year","Harvest"
"1",0,"MN","inter",232.605406963162,140.704591128359,82.5592763765906,-47.272461198871,512.483275125196,"3","Summer"
"2",40,"MN","inter",269.866382292473,101.872858893247,43.1092434813814,64.4352372014506,475.297527383494,"3","Summer"
"3",80,"MN","inter",307.127357621783,85.0774853721303,24.5481930647186,131.743330139663,482.511385103902,"3","Summer"
"4",120,"MN","inter",344.388332951093,101.872858893248,43.1092434813919,138.957187860071,549.819478042114,"3","Summer"
"5",160,"MN","inter",381.649308280403,140.70459112836,82.5592763766107,101.771440118369,661.527176442436,"3","Summer"
"6",0,"NY","inter",1212.877425795,128.811494163646,74.1265654016186,956.222202362854,1469.53264922715,"3","Summer"
"7",40,"NY","inter",1298.42898578,95.6654485959209,36.3201239610014,1104.46982371744,1492.38814784257,"3","Summer"
"8",80,"NY","inter",1383.980545765,81.6804978591667,21.375105218017,1214.29797446123,1553.66311706877,"3","Summer"
"9",120,"NY","inter",1469.53210575,95.6654485959209,36.3201239610019,1275.57294368743,1663.49126781256,"3","Summer"
"10",160,"NY","inter",1555.083665735,128.811494163646,74.1265654016193,1298.42844230285,1811.73888916715,"3","Summer"
"11",0,"WI","inter",596.721311455001,128.811494163646,74.1265654016204,340.066088022854,853.376534887148,"3","Summer"
"12",40,"WI","inter",653.073770467501,95.665448595921,36.3201239610021,459.114608404935,847.032932530066,"3","Summer"
"13",80,"WI","inter",709.42622948,81.6804978591669,21.3751052180171,539.743658176226,879.108800783775,"3","Summer"
"14",120,"WI","inter",765.7786884925,95.665448595921,36.3201239610017,571.819526429935,959.737850555066,"3","Summer"
"15",160,"WI","inter",822.131147505,128.811494163646,74.1265654016193,565.475924072853,1078.78637093715,"3","Summer"
"16",0,"MN","monoI",1037.22117716501,128.811494163646,74.1265654016201,780.565953732859,1293.87640059715,"3","Summer"
"17",40,"MN","monoI",1056.2796739825,95.6654485959209,36.3201239610015,862.320511919938,1250.23883604507,"3","Summer"
"18",80,"MN","monoI",1075.3381708,81.6804978591667,21.375105218017,905.655599496227,1245.02074210378,"3","Summer"
"19",120,"MN","monoI",1094.3966676175,95.6654485959209,36.3201239610019,900.437505554933,1288.35582968006,"3","Summer"
"20",160,"MN","monoI",1113.455164435,128.811494163646,74.1265654016204,856.799941002849,1370.11038786714,"3","Summer"
"21",0,"NY","monoI",1120.480018835,128.811494163646,74.1265654016201,863.824795402852,1377.13524226715,"3","Summer"
"22",40,"NY","monoI",1091.374405025,95.6654485959208,36.320123961002,897.415242962435,1285.33356708757,"3","Summer"
"23",80,"NY","monoI",1062.268791215,81.6804978591668,21.3751052180174,892.586219911225,1231.95136251877,"3","Summer"
"24",120,"NY","monoI",1033.163177405,95.6654485959208,36.3201239610018,839.204015342434,1227.12233946756,"3","Summer"
"25",160,"NY","monoI",1004.057563595,128.811494163646,74.1265654016197,747.402340162852,1260.71278702715,"3","Summer"
"26",0,"WI","monoI",1014.34426226,128.811494163646,74.1265654016204,757.689038827852,1270.99948569215,"3","Summer"
"27",40,"WI","monoI",991.59836066,95.6654485959209,36.320123961002,797.639198597434,1185.55752272257,"3","Summer"
"28",80,"WI","monoI",968.85245906,81.6804978591667,21.3751052180173,799.169887756226,1138.53503036377,"3","Summer"
"29",120,"WI","monoI",946.10655746,95.665448595921,36.3201239610023,752.147395397435,1140.06571952257,"3","Summer"
"30",160,"WI","monoI",923.36065586,128.811494163647,74.1265654016186,666.705432427852,1180.01587929215,"3","Summer"
