"","N","P","CROP","response","SE","df","lower.CL","upper.CL","Year","Harvest"
"1",0,"KS","inter",NA,NA,NA,NA,NA,"3","Summer"
"2",40,"KS","inter",NA,NA,NA,NA,NA,"3","Summer"
"3",80,"KS","inter",NA,NA,NA,NA,NA,"3","Summer"
"4",120,"KS","inter",NA,NA,NA,NA,NA,"3","Summer"
"5",160,"KS","inter",NA,NA,NA,NA,NA,"3","Summer"
"6",0,"MN","inter",3456.71569676843,550.748843573826,118.996804339645,2521.45232677881,4738.88928272942,"3","Summer"
"7",40,"MN","inter",3536.17282165674,398.389988635266,82.4540406140632,2826.23147111167,4424.4494311378,"3","Summer"
"8",80,"MN","inter",3617.45637233454,332.761142631272,51.0916930345685,3007.49151044056,4351.13135326084,"3","Summer"
"9",120,"MN","inter",3700.60833158398,416.915514460797,82.4540406140609,2957.65401083554,4630.1906759946,"3","Summer"
"10",160,"MN","inter",3785.67164721628,603.160475072838,118.996804339643,2761.40458766041,5189.86239270336,"3","Summer"
"11",0,"NY","inter",961.451922963841,153.185445716347,118.996804339644,701.317493512555,1318.07606215703,"3","Summer"
"12",40,"NY","inter",864.751127045291,97.424025648865,82.4540406140637,691.138972328183,1081.97416390378,"3","Summer"
"13",80,"NY","inter",777.776292152909,71.5457772117617,51.0916930345706,646.62993963414,935.521112705354,"3","Summer"
"14",120,"NY","inter",699.549201747897,78.8121544363837,82.4540406140623,559.103886965757,875.27398230392,"3","Summer"
"15",160,"NY","inter",629.190026236889,100.247087043377,118.996804339644,458.953756921394,862.57075608552,"3","Summer"
"16",0,"WI","inter",6191.76868139955,979.476411928826,118.448207238387,4526.61139086992,8469.47000603746,"3","Summer"
"17",40,"WI","inter",5611.02570513992,632.145706570861,82.4540406140782,4484.52556842324,7020.49948949463,"3","Summer"
"18",80,"WI","inter",5084.7522063154,457.646468626204,47.5032363158919,4242.83995458634,6093.72620140466,"3","Summer"
"19",120,"WI","inter",4607.83934316064,488.699539547302,71.1120872478193,3729.56132567721,5692.94390367042,"3","Summer"
"20",160,"WI","inter",4175.65744619926,621.256793294817,112.693065727649,3109.62437642257,5607.14510736453,"3","Summer"
"21",0,"KS","monoA",623.796627262126,100.366822336065,119.234014398288,453.61066894416,857.833068806203,"3","Summer"
"22",40,"KS","monoA",634.967916083929,71.5363398879117,82.4540406140691,507.488292594767,794.470060372236,"3","Summer"
"23",80,"KS","monoA",646.33926641374,61.1954327474496,54.5537005521183,534.614856430123,781.411968417406,"3","Summer"
"24",120,"KS","monoA",657.914261061709,79.775862766777,90.1846287121991,517.073846766956,837.116743797449,"3","Summer"
"25",160,"KS","monoA",669.696547000898,115.817794258696,120.754528640765,475.532828983681,943.138807100775,"3","Summer"
"26",0,"MN","monoA",4021.35959819937,640.711977086605,118.996804339644,2933.32382676809,5512.97230481628,"3","Summer"
"27",40,"MN","monoA",4175.37143646608,470.402964734739,82.4540406140596,3337.10108427124,5224.21292978725,"3","Summer"
"28",80,"MN","monoA",4335.28168937267,398.792173311848,51.0916930345675,3604.27923218944,5214.5425244406,"3","Summer"
"29",120,"MN","monoA",4501.31625705552,507.124346838886,82.4540406140577,3597.60744418497,5632.03416725822,"3","Summer"
"30",160,"MN","monoA",4673.70969127595,744.649092801126,118.996804339639,3409.17136655854,6407.29371735195,"3","Summer"
"31",0,"NY","monoA",1191.81136179642,189.887970792958,118.996804339643,869.34992487012,1633.88099713615,"3","Summer"
"32",40,"NY","monoA",1117.94907650837,125.949647358103,82.4540406140618,893.503519900898,1398.77472201177,"3","Summer"
"33",80,"NY","monoA",1048.66439247741,96.464124390341,51.0916930345685,871.841684614925,1261.34942553904,"3","Summer"
"34",120,"NY","monoA",983.673613725452,110.82199302954,82.4540406140582,786.185931690553,1230.76964282356,"3","Summer"
"35",160,"NY","monoA",922.710626279351,147.012903274549,118.996804339642,673.058203123455,1264.96474732463,"3","Summer"
"36",0,"WI","monoA",6110.36265449454,973.546991129644,118.996804339659,4457.11753125696,8376.83357183364,"3","Summer"
"37",40,"WI","monoA",6098.62450700622,687.079243739738,82.4540406140764,4874.23137427955,7630.58173104355,"3","Summer"
"38",80,"WI","monoA",6086.90890876974,559.920163534003,51.0916930345703,5060.55221783809,7321.42629277892,"3","Summer"
"39",120,"WI","monoA",6075.21581646751,684.441989163116,82.4540406140591,4855.52234018119,7601.29284366135,"3","Summer"
"40",160,"WI","monoA",6063.54518686508,966.087694960153,118.996804339646,4422.96719230988,8312.65045263729,"3","Summer"
