"","N","P","CROP","emmean","SE","df","lower.CL","upper.CL","Year","Harvest"
"1",0,"MN","inter",1551.55424188004,386.68196820373,86.463852091715,782.914756754163,2320.19372700592,"3","Summer"
"2",40,"MN","inter",1757.53121020475,280.333680784019,50.6245313337697,1194.63649775123,2320.42592265828,"3","Summer"
"3",80,"MN","inter",1963.50817852947,238.196756088402,31.6380074217615,1478.0994498879,2448.91690717103,"3","Summer"
"4",120,"MN","inter",2169.48514685418,289.784593485013,54.1998402678593,1588.5510732555,2750.41922045286,"3","Summer"
"5",160,"MN","inter",2375.46211517889,400.373851060014,88.4365220478768,1579.85795299743,3171.06627736036,"3","Summer"
"6",0,"NY","inter",423.452235845505,386.68196820373,86.4638520917125,-345.187249280372,1192.09172097138,"3","Summer"
"7",40,"NY","inter",530.794256096753,279.129818054247,50.1617619513773,-29.8096907178176,1091.39820291132,"3","Summer"
"8",80,"NY","inter",638.136276348002,232.472849148796,29.495064283748,163.022317776394,1113.25023491961,"3","Summer"
"9",120,"NY","inter",745.47829659925,279.129818054247,50.1617619513779,184.874349784679,1306.08224341382,"3","Summer"
"10",160,"NY","inter",852.820316850499,386.68196820373,86.4638520917125,84.1808317246218,1621.45980197638,"3","Summer"
"11",0,"WI","inter",5679.81322195211,398.27664440486,86.8983499316066,4888.18220844347,6471.44423546076,"3","Summer"
"12",40,"WI","inter",6370.01153557904,289.765792670159,53.9378363322141,5789.0507649897,6950.97230616838,"3","Summer"
"13",80,"WI","inter",7060.20984920596,233.56513337644,29.9360743010534,6583.16349343078,7537.25620498115,"3","Summer"
"14",120,"WI","inter",7750.40816283289,265.310490294976,43.430968781094,7215.51206416196,8285.30426150382,"3","Summer"
"15",160,"WI","inter",8440.60647645981,362.59504794741,79.089031356879,7718.89171948845,9162.32123343118,"3","Summer"
"16",0,"MN","monoI",3213.9209889,386.681968203731,86.4638520917135,2445.28150377412,3982.56047402588,"3","Summer"
"17",40,"MN","monoI",3602.70536585,279.129818054247,50.1617619513779,3042.10141903543,4163.30931266457,"3","Summer"
"18",80,"MN","monoI",3991.4897428,232.472849148796,29.495064283748,3516.37578422839,4466.60370137161,"3","Summer"
"19",120,"MN","monoI",4380.27411975,279.129818054246,50.1617619513782,3819.67017293543,4940.87806656457,"3","Summer"
"20",160,"MN","monoI",4769.0584967,386.68196820373,86.4638520917135,4000.41901157412,5537.69798182587,"3","Summer"
"21",0,"NY","monoI",949.798844068,386.68196820373,86.463852091712,181.159358942123,1718.43832919388,"3","Summer"
"22",40,"NY","monoI",959.512196823,279.129818054247,50.1617619513776,398.90825000843,1520.11614363757,"3","Summer"
"23",80,"NY","monoI",969.225549578001,232.472849148796,29.4950642837481,494.111591006395,1444.33950814961,"3","Summer"
"24",120,"NY","monoI",978.938902333001,279.129818054246,50.1617619513779,418.334955518432,1539.54284914757,"3","Summer"
"25",160,"NY","monoI",988.652255088002,386.68196820373,86.463852091713,220.012769962126,1757.29174021388,"3","Summer"
"26",0,"WI","monoI",8608.37377199785,499.261596312025,97.3294391888328,7617.5200610352,9599.22748296049,"3","Summer"
"27",40,"WI","monoI",9297.67567527409,361.129121046225,76.7709328038897,8578.5414826374,10016.8098679108,"3","Summer"
"28",80,"WI","monoI",9986.97757855033,279.298593001306,47.0218493601029,9425.10817539973,10548.8469817009,"3","Summer"
"29",120,"WI","monoI",10676.2794818266,303.385114181136,58.051929988061,10068.9997605927,11283.5592030604,"3","Summer"
"30",160,"WI","monoI",11365.5813851028,415.353719653737,90.0063768744206,10540.4095213657,12190.7532488399,"3","Summer"
