"","P","CROP","SE.x","equation","percent_change"
"1","MN","inter","3.6164","=4778.60*e(1.6209N)","62.09%"
"2","MN","monoI","3.6164","=4619.59*e(10.0768N)","907.68%"
"3","MN","monoA","3.6164","=2246.75*e(-2.8717N)","-387.17%"
"4","NY","inter","3.6164","=5426.57*e(9.3543N)","835.43%"
"5","NY","monoI","3.6164","=2965.31*e(20.9748N)","1997.48%"
"6","NY","monoA","3.6164","=4068.33*e(-3.3676N)","-436.76%"
"7","KS","inter","4.1759","=2530.88*e(0.2515N)","-74.85%"
"8","KS","monoI","4.1759","=2976.99*e(1.5081N)","50.81%"
"9","KS","monoA","4.1759","=1469.55*e(6.8384N)","583.84%"
"10","WI","inter","3.6164","=5559.87*e(6.2604N)","526.04%"
"11","WI","monoI","3.6164","=3826.49*e(23.1963N)","2219.63%"
"12","WI","monoA","3.6164","=4073.61*e(2.7205N)","172.05%"
