"","Plot","G"
"1",1101,NA
"2",1102,53.0396282756855
"3",1103,NA
"4",1104,50.2818033202837
"5",1105,67.4514877200434
"6",1106,-0.159704734968884
"7",1107,22.7925158616011
"8",1108,NA
"9",1109,NA
"10",1110,NA
"11",1111,NA
"12",1112,NA
"13",1113,3.39877907845281
"14",1114,12.3839507073426
"15",1115,25.9061891983451
"16",1116,69.4086538174253
"17",1117,0.0182194557022012
"18",1118,NA
"19",1119,2.9539686017751
"20",1120,30.6211802511288
"21",1121,NA
"22",1122,36.8485269246168
"23",1123,7.1351870825456
"24",1124,51.3493484643102
"25",1201,17.8996006181462
"26",1202,NA
"27",1203,NA
"28",1204,NA
"29",1205,77.5042044929597
"30",1206,NA
"31",1207,16.0313966160998
"32",1208,35.6920196852547
"33",1209,58.1104677098114
"34",1210,12.4729128026781
"35",1211,14.6969651860667
"36",1212,27.0626964377071
"37",1213,55.6195290404162
"38",1214,14.252154709389
"39",1215,2.77604441110402
"40",1216,NA
"41",1217,6.24556612919017
"42",1218,25.728265007674
"43",1219,4.55528631781487
"44",1220,NA
"45",1221,63.7150797159506
"46",1222,NA
"47",1223,NA
"48",1224,NA
"49",1301,4.02151374580161
"50",1302,42.0083284540782
"51",1303,NA
"52",1304,-0.159704734968884
"53",1305,5.08905888982812
"54",1306,43.7875703607891
"55",1307,20.5684634782125
"56",1308,19.3229941435149
"57",1309,NA
"58",1310,NA
"59",1311,NA
"60",1312,31.1549528231421
"61",1313,NA
"62",1314,NA
"63",1315,3.5767032691239
"64",1316,9.09235317992753
"65",1317,27.9523173910625
"66",1318,22.1697811942523
"67",1319,5.71179355717692
"68",1320,63.626117620615
"69",1321,NA
"70",1322,NA
"71",1323,49.836992843606
"72",1324,NA
"73",1401,11.8501781353293
"74",1402,42.3641768354204
"75",1403,12.0281023260004
"76",1404,28.6640141537469
"77",1405,3.66566536445944
"78",1406,8.73650479858536
"79",1407,NA
"80",1408,NA
"81",1409,0.907840409057626
"82",1410,NA
"83",1411,NA
"84",1412,4.82217260382149
"85",1413,29.3757109164312
"86",1414,14.6080030907312
"87",1415,15.5865861394221
"88",1416,1.88642345774859
"89",1417,NA
"90",1418,NA
"91",1419,48.858409794915
"92",1420,NA
"93",1421,27.3295827237137
"94",1422,NA
"95",1423,18.4333731901595
"96",1424,NA
