"","Plot","G"
"1","101",8.16533998955267
"2","102",8.25597841675373
"3","103",16.6853521464527
"4","104",12.1534307863995
"5","105",8.43725527115586
"6","106",NA
"7","107",NA
"8","108",9.25300111596543
"9","109",NA
"10","110",NA
"11","111",27.7432402649824
"12","112",NA
"13","113",NA
"14","114",NA
"15","115",NA
"16","116",26.1117485753633
"17","201",17.138544282458
"18","202",NA
"19","203",18.7700359720771
"20","204",NA
"21","205",12.1534307863995
"22","206",6.98704043593884
"23","207",16.2321600104473
"24","208",12.5159844952037
"25","209",4.72107975591224
"26","210",9.88747010637288
"27","211",15.688329447241
"28","212",NA
"29","213",NA
"30","214",2.45511907588565
"31","215",NA
"32","216",11.7002386503942
"33","301",6.62448672713458
"34","302",9.70619325197075
"35","303",7.80278628074841
"36","304",NA
"37","305",13.4223687672144
"38","306",12.1534307863995
"39","307",10.068746960775
"40","308",NA
"41","309",8.52789369835692
"42","310",15.5976910200399
"43","311",1.27681952227182
"44","312",NA
"45","313",NA
"46","314",2.45511907588565
"47","315",NA
"48","316",6.26193301833033
"49","401",NA
"50","402",NA
"51","403",9.97810853357394
"52","404",NA
"53","405",NA
"54","406",NA
"55","407",4.53980290151012
"56","408",NA
"57","409",9.97810853357394
"58","410",7.0776788631399
"59","411",NA
"60","412",5.80874088232501
"61","413",9.25300111596543
"62","414",2.63639593028778
"63","415",NA
"64","416",NA
"65","501",0.370435250261183
"66","502",2.45511907588565
"67","503",NA
"68","504",10.9751312327856
"69","505",NA
"70","506",4.44916447430905
"71","507",9.97810853357394
"72","508",NA
"73","509",5.44618717352075
"74","510",25.2053643033526
"75","511",NA
"76","512",5.26491031911863
"77","513",7.89342470794948
"78","514",18.4981206904739
"79","515",8.16533998955267
"80","516",12.969176631209
"81","601",NA
"82","602",NA
"83","603",28.3777092553899
"84","605",9.70619325197075
"85","606",NA
"86","607",15.8696063016431
"87","609",NA
"88","610",13.3317303400133
"89","611",NA
"90","613",8.70917055275905
"91","614",4.26788761990692
"92","615",5.35554874631969
