Plot,Trt #,Rep,Type,DM,CP,ADF,aNDF,Ash,FAT,Lignin,dNDF30,IVTDMD30,dNDF48,IVTDMD48,Ca,P,K,Mg,ESC,WSC,Starch
1101,15,,Alfalfa,94.9,22.8,21.1,25.4,9.1,2.8,4.5,10.2,84.9,13.8,88.6,1.7,0.3,2.1,0.4,8.8,11.1,2.3
1102,,,,,,,,,,,,,,,,,,,,,
1103,18,,Alfalfa,94.9,23.1,22.7,27.1,9,2.7,4.8,11.3,83.8,14.6,87.6,1.7,0.3,2.3,0.4,8.1,10.4,1.2
1104,,,,,,,,,,,,,,,,,,,,,
1105,,,,,,,,,,,,,,,,,,,,,
1106,6,,Alfalfa,94.6,23.2,22.3,26.8,8.5,2.5,4.9,10.6,84.4,13.5,88.2,1.7,0.3,1.9,0.4,8.8,10.9,2.1
1107,8,,Alfalfa,94.9,22.3,22.1,28.3,8.7,2.6,4.3,11,84,15.4,89.1,1.4,0.3,2.1,0.4,9.3,11.1,2.5
1108,14,,Alfalfa,95.1,21.2,24.6,30.2,9.1,2.5,5.2,11.3,82.1,15.7,85.4,1.7,0.3,2.3,0.4,8,10.4,2
1109,23,,Alfalfa,95,22.5,21.7,26.5,9.1,2.6,4.8,9.7,83.4,13.5,86.9,1.8,0.3,2.1,0.4,9,11.1,2.4
1110,12,,Alfalfa,95.1,20,26.8,33.4,8.8,2.4,5.5,11.9,80.4,16.9,83.8,1.6,0.3,2.2,0.4,7.4,9.7,2.7
1111,22,,Alfalfa,95.1,19.7,26.4,34,9.5,2.3,5.6,11.7,79.8,17.2,84.6,1.5,0.3,2,0.3,7.6,9.9,2.3
1112,13,,Alfalfa,94.8,23.3,23.1,28,9.2,2.5,4.9,10.5,82.9,14.7,87.2,1.5,0.3,2.3,0.4,7.7,9.9,2.3
1113,7,,Alfalfa,95,22.3,18.5,23.8,8.7,2.8,4,8.8,85.1,12.5,90.7,1.7,0.3,1.7,0.5,11,12.8,3.1
1114,9,,Alfalfa,94.9,22.5,19.1,24,8.6,2.8,3.9,9.5,85.8,13.3,89.9,1.7,0.3,1.9,0.5,10.6,12.4,3.1
1115,17,,Alfalfa,94.9,21.9,21.3,26.9,8.7,2.6,4.7,9.7,82.8,12.9,88,1.8,0.3,1.5,0.5,10.1,12,2.8
1116,,,,,,,,,,,,,,,,,,,,,
1117,20,,Alfalfa,95.1,21.1,23,29,8.9,2.5,4.8,10.7,83.1,15.1,87.9,1.5,0.3,2.1,0.4,9.2,11.3,2.9
1118,11,,Alfalfa,95.3,20.8,23.7,30.4,9.3,2.6,4.7,11.8,83.5,16.9,86.7,1.5,0.3,2.3,0.4,8.4,10.8,2.5
1119,16,,Alfalfa,94.7,25.5,17.5,20.4,8.9,2.7,3.8,9,87.8,11.8,91.4,1.7,0.3,1.9,0.5,10,11.8,2.7
1120,10,,Alfalfa,94.9,21.7,21.5,27.6,8.7,2.4,4.4,10.4,83.9,14,88.5,1.7,0.3,1.8,0.4,10.2,12.1,2.4
1121,19,,Alfalfa,94.9,21.7,20.2,26.4,9,2.7,4.2,9.9,84.1,14,89.4,1.6,0.3,1.9,0.4,10.2,12.1,3.3
1122,,,,,,,,,,,,,,,,,,,,,
1123,21,,Alfalfa,94.8,23.4,20.5,24.7,9.3,2.6,4.5,9.5,83.9,12.2,88.9,1.7,0.3,1.8,0.4,9.2,11,2.4
1124,,,,,,,,,,,,,,,,,,,,,
1201,,,,,,,,,,,,,,,,,,,,,
1202,13,,Alfalfa,94.7,22.6,23.6,28.6,8.8,2.5,4.8,11,83.9,14.9,87.8,1.6,0.3,2.2,0.4,8.2,10.4,1.8
1203,11,,Alfalfa,94.7,22.4,25.4,31.3,9.6,2.5,5.1,12.7,82.9,16.5,86.7,1.6,0.3,2.3,0.4,6.8,9.2,1.2
1204,22,,Alfalfa,94.6,25.2,19.2,22.7,9.6,2.8,4.1,10.2,86.5,12.2,90.7,1.8,0.3,2.1,0.5,9,10.9,1.6
1205,,,,,,,,,,,,,,,,,,,,,
1206,23,,Alfalfa,94.8,21.6,23.4,29.3,9.3,2.6,4.9,11.4,82.8,15.3,87.5,1.6,0.3,2.2,0.4,8,10.2,1.7
1207,9,,Alfalfa,94.7,23,24.1,29.2,9,2.3,5.2,11.6,83,14.6,86.3,1.8,0.3,2.2,0.4,7.6,9.9,1
1208,,,,,,,,,,,,,,,,,,,,,
1209,,,,,,,,,,,,,,,,,,,,,
1210,10,,Alfalfa,94.6,22.8,21.9,26.2,9.8,2.5,4.5,10.1,84.3,13.2,88.5,1.7,0.3,2,0.4,9.1,11,2.1
1211,7,,Alfalfa,95,22,23.3,28.6,8.1,2.5,5.2,10.3,82,13.9,85.8,1.7,0.3,1.7,0.4,9.2,11.1,2.1
1212,20,,Alfalfa,94.9,21.3,24.3,30.5,9.9,2.5,5,11.2,81.4,15,86.6,1.8,0.3,2,0.4,8.2,10.3,1.8
1213,,,,,,,,,,,,,,,,,,,,,
1214,21,,Alfalfa,94.8,24.2,20.7,26.3,9.4,2.8,3.9,12.2,86.1,15.4,89.4,1.6,0.3,2.2,0.4,8.8,10.9,1.5
1215,6,,Alfalfa,94.8,21.1,25.4,31.4,8.9,2.5,5.2,11.8,82.4,16.1,86.6,1.5,0.3,2.2,0.4,7.6,9.8,1.7
1216,19,,Alfalfa,94.7,22.6,21.8,29.6,9.5,2.8,4.1,12.2,84.1,16.5,88.4,1.5,0.3,2.3,0.4,8.8,10.8,2.3
1217,17,,Alfalfa,94.6,23.6,21.2,25.7,9.5,2.6,4.5,10.3,84.9,13.8,89,1.7,0.3,2.1,0.4,8.7,10.9,1.9
1218,16,,Alfalfa,94.8,21.6,24,30.7,9,2.5,4.9,11.1,82.4,15.7,87.1,1.5,0.3,2,0.4,8.4,10.5,2.3
1219,8,,Alfalfa,94.8,23,20.1,25.1,8.2,2.7,4.2,9.7,85.3,13.5,89.3,1.5,0.3,2,0.4,9.9,11.8,3
1220,18,,Alfalfa,94.8,21,26.7,33.8,9.1,2.3,5.6,11.7,80.1,16,83.9,1.7,0.3,2.1,0.4,7.8,9.8,1.2
1221,,,,,,,,,,,,,,,,,,,,,
1222,12,,Alfalfa,95,22.5,21.9,27.7,9,2.6,4.4,10.8,84,15,87.8,1.5,0.3,2.2,0.4,8.9,10.9,2.4
1223,14,,Alfalfa,94.6,19.1,30.5,36.9,10.5,2.2,6.2,13.7,78.5,17.7,82,1.7,0.3,2.6,0.3,5.5,8.2,1.3
1224,15,,Alfalfa,94.5,18.9,30.7,39.1,10.6,2.1,5.9,13.8,77.1,19.3,81.8,1.5,0.3,2.8,0.3,5.7,8.2,1.7
1301,6,,Alfalfa,94.6,19.5,27.4,36.3,10,2.3,5.4,14.1,79.8,18.2,84.6,1.9,0.3,2,0.4,7.2,9.7,0.9
1302,,,,,,,,,,,,,,,,,,,,,
