Plot,Trt #,Rep,Type,DM,CP,ADF,aNDF,Ash,FAT,Lignin,dNDF30,IVTDMD30,dNDF48,IVTDMD48,Ca,P,K,Mg,ESC,WSC,Starch
1101,15,,Alfalfa,,,,,,,,,,,,,,,,,,
1102,,,,,,,,,,,,,,,,,,,,,
1103,18,,Alfalfa,94.4,19.6,40.5,47.4,8.5,1.4,9.3,13.2,67.2,18.3,71.5,1.4,0.3,2.3,0.2,2.9,5.5,0.9
1104,,,,,,,,,,,,,,,,,,,,,
1105,,,,,,,,,,,,,,,,,,,,,
1106,6,,Alfalfa,94.2,17,43.2,52.5,7.3,1.3,9.8,14.3,64.2,20.5,69.2,1.4,0.3,2.2,0.2,2.8,5.5,0.5
1107,8,,Alfalfa,,,,,,,,,,,,,,,,,,
1108,14,,Alfalfa,94.4,21.4,32.1,38,8.2,1.7,8.2,9.3,72.1,14.5,76.1,1.6,0.3,1.8,0.3,4.7,7.3,2.8
1109,23,,Alfalfa,94.5,17.2,42.8,50.2,6.7,1.4,9.6,12.6,65.9,18.1,68.3,1.3,0.3,2,0.2,3.5,5.9,1.8
1110,12,,Alfalfa,94.6,17.6,41.8,49.9,5.3,1.3,10.2,11.8,64.4,18.3,67.8,1.5,0.3,1.7,0.2,3.3,6,1.6
1111,22,,Alfalfa,,,,,,,,,,,,,,,,,,
1112,13,,Alfalfa,94.5,17.3,40.2,48,7.4,1.4,10,10.6,64.1,17.1,69.2,1.5,0.3,1.7,0.2,3.2,6,1.8
1113,7,,Alfalfa,,,,,,,,,,,,,,,,,,
1114,9,,Alfalfa,93.9,17.4,44,53.4,6.3,1.4,9.9,14.5,64.8,20.8,67.8,1.4,0.3,2,0.2,2.9,5.8,0.4
1115,17,,Alfalfa,94.6,19.3,41.8,50,7.4,1.2,9.6,13.2,66.3,19.4,69.9,1.5,0.3,2,0.2,2.8,5.9,0.5
1116,,,,,,,,,,,,,,,,,,,,,
1117,20,,Alfalfa,94.5,20.2,36.5,45.1,9.2,1.6,7.8,13.8,71,19.5,75.7,1.4,0.3,2.4,0.2,4.3,6.8,1
1118,11,,Alfalfa,94.5,19,38.7,47.7,7.8,1.7,8.4,13.9,68.7,19.4,73,1.3,0.3,2.2,0.2,4.1,6.3,1.7
1119,16,,Alfalfa,94.5,17.2,39,50.8,8.7,1.8,7.8,16,67.4,23.1,73.8,1.2,0.3,2.2,0.2,3.6,6,1.7
1120,10,,Alfalfa,93.9,15.8,35.5,45.2,7.9,1.8,7.5,13.7,70.6,20.4,75.7,1.4,0.3,2,0.2,5.7,8.1,3
1121,19,,Alfalfa,94.5,16.6,38,50.2,7.9,1.8,7.6,16.3,68,23.2,74.3,1.2,0.3,2.2,0.2,4.6,6.8,2
1122,,,,,,,,,,,,,,,,,,,,,
1123,21,,Alfalfa,94.7,15.7,39.9,51.6,6.7,1.7,8.5,14.3,65.8,21.3,71.7,1.2,0.3,1.9,0.2,4.8,6.7,2.4
1124,,,,,,,,,,,,,,,,,,,,,
1201,,,,,,,,,,,,,,,,,,,,,
1202,13,,Alfalfa,94.8,17.1,40.7,49.1,6.4,1.4,9.2,12.5,66,18.4,69.9,1.5,0.3,1.9,0.2,4.3,6.7,1.6
1203,11,,Alfalfa,94.4,19.7,39.1,47.1,7.7,1.5,9.4,13.1,68.3,19,71.7,1.5,0.3,2,0.2,2.9,6,0.7
1204,22,,Alfalfa,94.9,19.5,38.9,47.7,7.8,1.3,9,14,69.2,20.1,72.1,1.6,0.3,2.1,0.2,2.9,6.2,0.5
1205,,,,,,,,,,,,,,,,,,,,,
1206,23,,Alfalfa,95,15.6,48.4,59.1,5.1,1.3,10.2,16,61.8,22.6,64.3,1.2,0.3,1.8,0.2,3,5.2,0.8
1207,9,,Alfalfa,95,20.9,36.3,44.4,9,1.4,8.1,12.9,70.4,18.7,74.8,1.6,0.3,2.3,0.2,3.9,6.7,0.7
1208,,,,,,,,,,,,,,,,,,,,,
1209,,,,,,,,,,,,,,,,,,,,,
1210,10,,Alfalfa,94.3,20.3,32.6,39.2,9.3,1.6,7.4,11,73.6,16.1,77.5,1.5,0.3,2.5,0.3,5.3,7.7,2.7
1211,7,,Alfalfa,,,,,,,,,,,,,,,,,,
1212,20,,Alfalfa,,,,,,,,,,,,,,,,,,
1213,,,,,,,,,,,,,,,,,,,,,
