Plot,Trt #,Rep,Type,DM,CP,ADF,aNDF,Ash,FAT,Lignin,dNDF30,IVTDMD30,dNDF48,IVTDMD48,Ca,P,K,Mg,ESC,WSC,Starch
1101,,,,,,,,,,,,,,,,,,,,,
1102,4,,IWG,95.7,4.3,46.7,73.2,2.9,1.9,5.9,17.3,39.8,33.3,62,0.2,0.2,1.5,0.1,7,8.1,0.9
1103,,,,,,,,,,,,,,,,,,,,,
1104,2,,IWG,95.8,2.6,49,75.8,5.3,1.9,5.5,18.7,36.4,36.8,60.7,0.1,0.2,1.3,0.1,4.2,5.6,1.7
1105,3,,IWG,95.7,3.6,46.9,73.9,1,1.4,6,16.6,37.7,31.7,61,0.1,0.2,1.1,0.1,8.1,9.2,1.6
1106,6,,IWG,95.6,5.5,48.3,73,6,2,5.9,19.2,40.4,35.9,63,0.2,0.2,1.7,0.1,3.7,5.3,1.1
1107,8,,IWG,95.8,6.4,46.9,70,8,2.3,6,18,43.3,33.5,63.4,0.2,0.2,1.9,0.1,4.8,6.8,0.7
1108,,,,,,,,,,,,,,,,,,,,,
1109,,,,,,,,,,,,,,,,,,,,,
1110,,,,,,,,,,,,,,,,,,,,,
1111,,,,,,,,,,,,,,,,,,,,,
1112,,,,,,,,,,,,,,,,,,,,,
1113,7,,IWG,95.9,5.3,47.8,72.5,7.4,2.1,5.8,20.7,42.9,36.3,63.2,0.2,0.2,1.7,0.1,3.7,5.5,0.9
1114,9,,IWG,96,6.6,47.8,73.2,6.2,2,5.8,22.3,44.6,36.6,63.9,0.2,0.2,1.9,0.1,3.9,5.5,0.7
1115,17,,IWG,95.8,6.3,47.4,72.7,6.6,2.1,6.1,20.3,42.8,34.9,62.9,0.2,0.2,1.8,0.1,4,5.6,0.9
1116,5,,IWG,95.7,4.2,47.6,73.9,3.5,1.9,6.1,19.1,40.1,33.8,61.3,0.2,0.2,1.2,0.1,6.1,7.7,1.8
1117,20,,IWG,95.4,7.9,45.1,69.2,6.3,2.2,5.8,16.7,41.8,32.8,65.1,0.2,0.2,1.6,0.1,4.4,5.9,1.5
1118,,,,,,,,,,,,,,,,,,,,,
1119,16,,IWG,95.5,7.8,45,70,6,2.1,5.9,18.5,43.7,33.9,65,0.2,0.2,1.6,0.1,4.3,5.7,1.4
1120,10,,IWG,95.9,6.5,46.9,71.9,5.7,2.1,6.5,17.6,40.8,32.1,61.1,0.2,0.2,1.5,0.1,4.8,6.2,1.7
1121,,,,,,,,,,,,,,,,,,,,,
1122,24,,IWG,95.8,4.5,47.4,73.7,5,2.1,6.3,15.9,35.6,32.7,59.7,0.2,0.2,1.1,0.1,4.4,5.8,2.1
1123,21,,IWG,95.8,4.4,49.2,74.9,5.6,1.9,6.1,18.1,36.7,35.4,60.6,0.2,0.2,1.4,0.1,3.7,5.2,1.7
1124,1,,IWG,95.8,4.3,47.5,73.2,3.6,1.9,6.4,15.9,36.5,31.4,59.4,0.2,0.2,1.1,0.1,5.9,7.3,2
1201,24,,IWG,95.7,5.4,47,72.2,6.4,2.1,6,19.2,41.9,34.5,63,0.2,0.2,1.6,0.1,4,5.4,1.5
1202,,,,,,,,,,,,,,,,,,,,,
1203,,,,,,,,,,,,,,,,,,,,,
1204,,,,,,,,,,,,,,,,,,,,,
1205,4,,IWG,95.8,3.5,49.7,76.8,2.9,1.6,6.3,19.5,37.2,34.3,58.6,0.2,0.2,1.1,0.1,5,6.4,2.1
1206,,,,,,,,,,,,,,,,,,,,,
1207,9,,IWG,,,,,,,,,,,,,,,,,,
1208,1,,IWG,96,4,46.2,71.9,4.8,1.9,6.3,17.3,40.9,32.1,60.1,0.2,0.2,1.2,0.1,6.2,7.8,1.9
1209,3,,IWG,95.8,3.5,48.9,74.1,6.1,1.6,5.9,19.2,39.8,35.2,60,0.2,0.2,1.1,0.1,4,6.3,2
1210,10,,IWG,96,5.3,47.2,71.4,6.8,1.8,6,21.1,45.3,34.5,63.1,0.2,0.2,1.6,0.1,4.7,6.7,1.5
1211,7,,IWG,95.6,5.6,46.9,71.8,6.2,1.8,6,21.3,45,34.4,63.2,0.2,0.2,1.6,0.1,4.8,6.5,1.4
1212,20,,IWG,95.5,4.6,48,73.4,5.3,1.8,5.8,19.1,39.5,35.2,62.8,0.2,0.2,1.6,0.1,5.2,6.5,1
1213,5,,IWG,95.6,5.6,46.5,72.1,5.7,2.1,5.6,20.7,43.5,35.2,63.8,0.2,0.2,1.5,0.1,4.4,6.1,1.5
1214,21,,IWG,95.9,5.5,47.3,73.3,4.9,2,5.9,19.4,41,34.9,62.5,0.2,0.2,1.5,0.1,4.9,6.3,1.1
1215,6,,IWG,95.7,7,44.4,69.2,5.8,2.1,5.5,20,47,34.3,66.8,0.2,0.2,1.7,0.1,5.8,7.1,1.4
1216,,,,,,,,,,,,,,,,,,,,,
1217,17,,IWG,95.7,6.6,46.9,72.4,5.8,2,6.6,18.8,42.5,32.3,60.7,0.2,0.2,1.4,0.1,3.9,5.6,1.4
1218,16,,IWG,96.1,6.7,45,68.6,7.6,2.2,6.7,16.7,44.5,30.4,61.9,0.3,0.2,1.5,0.1,4.6,6.5,1.7
1219,8,,IWG,95.7,5,46.3,72.4,3.9,2,6.2,18.6,42.1,33.1,62.2,0.2,0.2,1.4,0.1,5.9,7,2
1220,,,,,,,,,,,,,,,,,,,,,
1221,2,,IWG,95.8,3.5,46.6,73.8,3.1,1.6,5.7,18.1,38.9,34.1,61.5,0.1,0.2,1.2,0.1,6.5,7.9,2.1
