"","N","P","CROP","response","SE","df","lower.CL","upper.CL","Year","Harvest"
"1",0,"MN","inter",1981.9425882386,253.257408519451,146.595084932849,1539.6326003986,2551.32063458319,"1","Fall"
"2",40,"MN","inter",1912.54188854063,175.494047156343,88.9788011984461,1593.77952066856,2295.058022761,"1","Fall"
"3",80,"MN","inter",1845.57135869074,140.356234989547,52.8330536145943,1584.45435752366,2149.72026416906,"1","Fall"
"4",120,"MN","inter",1780.94590263779,163.418854297045,88.9788011984061,1484.11656970742,2137.14230597642,"1","Fall"
"5",160,"MN","inter",1718.58340409683,219.604736196177,146.595084932805,1335.04726683482,2212.30288260834,"1","Fall"
"6",0,"NY","inter",2649.54646571996,338.565443642069,146.595084932793,2058.24736755807,3410.71563343616,"1","Fall"
"7",40,"NY","inter",2558.85717434937,234.799668604528,88.9788011984055,2132.37377190507,3070.63898693027,"1","Fall"
"8",80,"NY","inter",2471.27201709218,187.94095081761,52.8330536145922,2121.62899996766,2878.53596578664,"1","Fall"
"9",120,"NY","inter",2386.68474492552,219.001198187033,88.9788011984055,1988.89723228853,2864.03137335848,"1","Fall"
"10",160,"NY","inter",2304.99274554272,294.537537492994,146.595084932792,1790.58767684778,2967.17755053344,"1","Fall"
"11",0,"WI","inter",479.795852771423,61.3094723390863,146.59508493279,372.719846097781,617.632956084299,"1","Fall"
"12",40,"WI","inter",470.554906337144,43.1779222286172,88.9788011984045,392.127763351896,564.667795988865,"1","Fall"
"13",80,"WI","inter",461.491942039451,35.096595511009,52.8330536145915,396.198670445987,537.545500411715,"1","Fall"
"14",120,"WI","inter",452.603531913343,41.5307115878843,88.978801198405,377.168335223324,543.12607387664,"1","Fall"
"15",160,"WI","inter",443.886314016986,56.7208647880675,146.595084932792,344.824236578262,571.4072239434,"1","Fall"
"16",0,"MN","monoA",1929.20615233924,246.518619429557,146.595084932792,1498.66535118496,2483.43392691425,"1","Fall"
"17",40,"MN","monoA",1941.79212988988,178.178037120401,88.9788011984066,1618.15463941307,2330.1584310075,"1","Fall"
"18",80,"MN","monoA",1954.46021729213,148.637264142733,52.8330536145918,1677.93729205465,2276.55393265626,"1","Fall"
"19",120,"MN","monoA",1967.21095022372,180.510457487794,88.9788011984055,1639.33691810216,2360.66111849678,"1","Fall"
"20",160,"MN","monoA",1980.04486785707,253.014913227827,146.595084932789,1538.15839414097,2548.87773174797,"1","Fall"
"21",0,"NY","monoA",2904.25706602007,371.112979043572,146.595084932792,2256.11422112706,3738.6002120557,"1","Fall"
"22",40,"NY","monoA",2828.17272134263,259.511951031993,88.9788011984061,2356.80263590398,3393.81873555935,"1","Fall"
"23",80,"NY","monoA",2754.08159812369,209.448701154997,52.833053614592,2364.42582865961,3207.95237354661,"1","Fall"
"24",120,"NY","monoA",2681.93147889592,246.092915531689,88.9788011984061,2234.93534573626,3218.32865152675,"1","Fall"
"25",160,"NY","monoA",2611.67151416034,333.725690898116,146.595084932789,2028.82496627069,3361.95985916635,"1","Fall"
"26",0,"WI","monoA",173.114130317032,22.1209414855727,146.59508493279,134.480262045646,222.846845028085,"1","Fall"
"27",40,"WI","monoA",171.61545919572,15.7473630613303,88.978801198405,143.012399328402,205.939247039182,"1","Fall"
"28",80,"WI","monoA",170.129762261586,12.9384175682282,52.8330536145911,146.05929046876,198.167031445183,"1","Fall"
"29",120,"WI","monoA",168.656927195435,15.4758893971546,88.9788011984071,140.546964327187,202.388996640206,"1","Fall"
"30",160,"WI","monoA",167.196842650435,21.3648161826504,146.59508493279,129.883535050882,215.229622302188,"1","Fall"
"31",0,"MN","monoI",945.420564994888,96.4002297326493,110.579704868763,772.452153379282,1157.12027056306,"1","Fall"
"32",40,"MN","monoI",1049.13898983282,79.7873232591422,52.8330536145922,900.703641861801,1222.03638225803,"1","Fall"
"33",80,"MN","monoI",1164.23596094864,83.3433806327095,43.3310922592653,1007.75929184312,1345.00905497679,"1","Fall"
"34",120,"MN","monoI",1291.95977454045,118.549690835953,88.9788011984055,1076.62950679806,1550.35696912558,"1","Fall"
"35",160,"MN","monoI",1433.69567254265,179.465839685397,144.162942811219,1119.44829361089,1836.15741182414,"1","Fall"
"36",0,"NY","monoI",179.977414028035,22.9979484467719,146.595084932792,139.811867214208,231.681832205207,"1","Fall"
"37",40,"NY","monoI",228.087933668067,20.929253799236,88.9788011984071,190.072635673961,273.706445435984,"1","Fall"
"38",80,"NY","monoI",289.059078695646,21.9830264401425,52.8330536145925,248.162128581145,336.695818391379,"1","Fall"
"39",120,"NY","monoI",366.328676982851,33.6141668312453,88.9788011984077,305.2728657642,439.595898063416,"1","Fall"
"40",160,"NY","monoI",464.25353663188,59.3234376621742,146.59508493279,360.64610755654,597.625599609219,"1","Fall"
"41",0,"WI","monoI",297.71462605285,38.0426936279175,146.59508493279,231.273673923022,383.24292195613,"1","Fall"
"42",40,"WI","monoI",290.859561482162,26.689152224307,88.9788011984045,242.382148730155,349.032653389754,"1","Fall"
"43",80,"WI","monoI",284.162339039997,21.6106279747273,52.8330536145918,243.958194418147,330.992099368792,"1","Fall"
"44",120,"WI","monoI",277.619324313098,25.4742335759725,88.9788011984045,231.348655045501,333.14431508972,"1","Fall"
"45",160,"WI","monoI",271.22696657284,34.6580365558806,146.595084932792,210.697263543788,349.145813092235,"1","Fall"
