"","N","P","CROP","response","SE","df","lower.CL","upper.CL","Year","Harvest"
"1",0,"KS","inter",4809.53464223646,524.035955719407,48.7429461111248,3863.65015481603,5986.98705834924,"1","Summer"
"2",40,"KS","inter",5007.91626905903,446.765467453376,24.1385063511271,4165.98024661325,6020.00582655052,"1","Summer"
"3",80,"KS","inter",5214.48065633314,447.653361250177,20.657711882289,4361.11720368612,6234.82636336629,"1","Summer"
"4",120,"KS","inter",5429.5653230603,545.805642765841,36.3246377330018,4428.44587564123,6657.0034782485,"1","Summer"
"5",160,"KS","inter",5653.5217100814,718.791980096625,73.203773799454,4388.11500852888,7283.83546562448,"1","Summer"
"6",0,"MN","inter",1423.07788433726,152.539804492566,46.3638589443557,1146.94895477856,1765.68508690155,"1","Summer"
"7",40,"MN","inter",1556.30190316748,138.520689325678,23.9390876679251,1295.09972363862,1870.18464261409,"1","Summer"
"8",80,"MN","inter",1701.9979303035,139.656453501659,17.5054689796829,1431.98719858722,2022.92098533796,"1","Summer"
"9",120,"MN","inter",1861.33355543784,165.670431064504,23.9390876679252,1548.93633962705,2236.73660173346,"1","Summer"
"10",160,"MN","inter",2035.58567429108,218.194551543352,46.3638589443557,1640.6079296058,2525.65464460158,"1","Summer"
"11",0,"NY","inter",1723.22945032364,195.360581550855,54.8618131070621,1372.99015271679,2162.81211674156,"1","Summer"
"12",40,"NY","inter",2133.53336573375,197.023560790653,27.3432467445541,1765.46140871826,2578.34274950475,"1","Summer"
"13",80,"NY","inter",2641.53135372904,219.173083508195,18.2560955024076,2219.35422133348,3144.01722161372,"1","Summer"
"14",120,"NY","inter",3270.48454212192,291.09376033125,23.9390876679251,2721.58224445137,3930.09219620867,"1","Summer"
"15",160,"NY","inter",4049.19257352703,436.883868921449,47.3135285835906,3259.2613362678,5030.57558320302,"1","Summer"
"16",0,"WI","inter",5336.81929237789,572.05398273096,46.3638589443555,4301.28201457188,6621.66304441484,"1","Summer"
"17",40,"WI","inter",5541.06941316059,493.190140775557,23.9390876679251,4611.08313948676,6658.61996252823,"1","Summer"
"18",80,"WI","inter",5753.13657056273,472.070286132613,17.5054689796828,4840.43944712713,6837.92882053111,"1","Summer"
"19",120,"WI","inter",5973.31993729112,531.66316483476,23.9390876679251,4970.78682757243,7178.04893087012,"1","Summer"
"20",160,"WI","inter",6201.93013595532,664.785266377574,46.3638589443557,4998.5298523252,7695.0500542431,"1","Summer"
"21",0,"KS","monoI",11257.41928199,1206.68345370662,46.3638589443569,9073.07001330812,13967.6524819754,"1","Summer"
"22",40,"KS","monoI",11431.9115536288,1017.5122612752,23.9390876679256,9513.23484449442,13737.5565626475,"1","Summer"
"23",80,"KS","monoI",11609.1084907064,952.578667260157,17.5054689796831,9767.40009474469,13798.0832812924,"1","Summer"
"24",120,"KS","monoI",11789.052016083,1049.30001591623,23.9390876679254,9810.43458015193,14166.7268970014,"1","Summer"
"25",160,"KS","monoI",11971.784702432,1283.25632632998,46.3638589443561,9648.82252926226,14854.001980731,"1","Summer"
"26",0,"MN","monoI",2121.41564674965,204.668411238952,32.1502664544262,1742.98969028877,2582.00284909812,"1","Summer"
"27",40,"MN","monoI",2408.82261703691,200.850382284684,18.6046235579913,2022.56799636549,2868.84120127253,"1","Summer"
"28",80,"MN","monoI",2735.16715559198,220.355034640166,16.2852680479868,2306.30822006822,3243.77258162303,"1","Summer"
"29",120,"MN","monoI",3105.72447971764,276.429075175284,23.9390876679252,2584.47471354611,3732.1025016658,"1","Summer"
"30",160,"MN","monoI",3526.48448713544,373.994977548038,44.7518612795873,2848.14147495309,4366.38873011452,"1","Summer"
"31",0,"NY","monoI",4217.30304765252,452.052968748378,46.3638589443559,3398.9926874186,5232.62231824534,"1","Summer"
"32",40,"NY","monoI",5081.96759453285,452.327182079976,23.9390876679251,4229.03474822241,6106.92419652915,"1","Summer"
"33",80,"NY","monoI",6123.9124483259,502.494085839077,17.5054689796828,5152.39418047227,7278.6169615857,"1","Summer"
"34",120,"NY","monoI",7379.48500795353,656.820728735065,23.9390876679251,6140.94795806949,8867.81639486982,"1","Summer"
"35",160,"NY","monoI",8892.48490113504,953.185994387055,46.3638589443553,7167.01901912472,11033.3581515418,"1","Summer"
"36",0,"WI","monoI",8774.71305898081,940.562023503477,46.3638589443557,7072.09920289553,10887.2326389206,"1","Summer"
"37",40,"WI","monoI",9075.58730792642,807.784535488071,23.9390876679252,7552.38465649351,10905.9970764303,"1","Summer"
"38",80,"WI","monoI",9386.77816928662,770.226641048619,17.5054689796828,7897.6278026375,11156.7177640316,"1","Summer"
"39",120,"WI","monoI",9708.63938716573,864.130164968321,23.939087667925,8079.1883384803,11666.7262602465,"1","Summer"
"40",160,"WI","monoI",10041.5368351236,1076.35294068813,46.3638589443557,8093.11303631073,12459.04530911,"1","Summer"
