"","N","P","CROP","response","SE","df","lower.CL","upper.CL","Year","Harvest"
"1",0,"KS","inter",9330.65660429391,759.786481305836,126.660651318236,7942.02154375047,10962.0897132622,"1","Summer"
"2",40,"KS","inter",9535.60597140534,581.554290588042,56.8056536444001,8439.28890242568,10774.3415699119,"1","Summer"
"3",80,"KS","inter",9745.05708419887,555.992093580597,44.1943558533569,8686.67449997797,10932.392778679,"1","Summer"
"4",120,"KS","inter",9959.10882423956,720.753209541589,91.2718104014797,8625.61919341091,11498.7511445918,"1","Summer"
"5",160,"KS","inter",10177.862245042,1000.69131961636,165.17743319756,8382.0145251326,12358.4705763096,"1","Summer"
"6",0,"MN","inter",3721.48485662952,296.689490536826,121.582176894248,3178.14229982497,4357.71851338613,"1","Summer"
"7",40,"MN","inter",3792.47251817507,230.479198574481,56.1820717152486,3357.79440395258,4283.42121965019,"1","Summer"
"8",80,"MN","inter",3864.81427581018,204.719821037932,34.4432698648604,3470.56124335764,4303.854143215,"1","Summer"
"9",120,"MN","inter",3938.5359590407,239.355883805661,56.1820717152496,3487.11663424172,4448.39307877918,"1","Summer"
"10",160,"MN","inter",4013.66389007267,319.983001572715,121.58217689425,3427.66274155226,4699.84915002982,"1","Summer"
"11",0,"NY","inter",6934.48698123201,594.087631417765,138.768932891426,5853.95144866723,8214.4701941155,"1","Summer"
"12",40,"NY","inter",6852.92836706964,440.43423395339,66.7997398732283,6027.8267802589,7790.97159161742,"1","Summer"
"13",80,"NY","inter",6772.32898861747,365.65221174837,36.8433023003641,6070.43924513859,7555.37417935585,"1","Summer"
"14",120,"NY","inter",6692.677564012,406.732798689641,56.18207171525,5925.58948395816,7559.06785258935,"1","Summer"
"15",160,"NY","inter",6613.96294407926,531.802587629289,123.654425948775,5640.83750130934,7754.96649486884,"1","Summer"
"16",0,"WI","inter",7398.95330795904,589.8698428219,121.582176894253,6318.69465774248,8663.8954750374,"1","Summer"
"17",40,"WI","inter",7447.58251105732,452.610490976424,56.18207171525,6593.97022885665,8411.69785939789,"1","Summer"
"18",80,"WI","inter",7496.53132684886,397.092445358461,34.4432698648605,6731.80371057394,8348.13139993279,"1","Summer"
"19",120,"WI","inter",7545.80185597003,458.579556221196,56.1820717152494,6680.93206315531,8522.63203866036,"1","Summer"
"20",160,"WI","inter",7595.39621286355,605.530942522969,121.582176894253,6486.45659407425,8893.92271322454,"1","Summer"
"21",0,"KS","monoA",7425.62921633373,636.253997899835,138.642449866805,6268.40573843075,8796.49013790117,"1","Summer"
"22",40,"KS","monoA",7742.40671270843,497.655839342168,66.7610891042727,6810.10437248432,8802.34111347763,"1","Summer"
"23",80,"KS","monoA",8072.69794364837,435.87900627909,36.8383564462695,7236.00212959632,9006.1405348177,"1","Summer"
"24",120,"KS","monoA",8417.07940535037,511.529538153761,56.1820717152494,7452.3472456196,9506.69948419492,"1","Summer"
"25",160,"KS","monoA",8776.15218735099,705.66819109052,123.640125759119,7484.87706597621,10290.1953547984,"1","Summer"
"26",0,"MN","monoA",3843.27975598603,306.399396134237,121.582176894251,3282.15495511182,4500.33575037862,"1","Summer"
"27",40,"MN","monoA",3640.36093101845,221.234950518962,56.1820717152498,3223.11724184183,4111.61826074704,"1","Summer"
"28",80,"MN","monoA",3448.15588494301,182.649360434906,34.4432698648603,3096.40653374738,3839.86368627044,"1","Summer"
"29",120,"MN","monoA",3266.09894792512,198.489999433131,56.1820717152496,2891.75167850013,3688.90676780741,"1","Summer"
"30",160,"MN","monoA",3093.65431656346,246.63669434075,121.582176894253,2641.9759916506,3622.55261237722,"1","Summer"
"31",0,"NY","monoA",6121.53226239831,488.029471623484,121.582176894252,5227.77906464235,7168.08357358291,"1","Summer"
"32",40,"NY","monoA",5961.90746752297,362.321849006073,56.1820717152502,5278.57734904953,6733.69703632483,"1","Summer"
"33",80,"NY","monoA",5806.44504148715,307.56830857303,34.4432698648609,5214.12458259644,6466.05263946763,"1","Summer"
"34",120,"NY","monoA",5655.03644655161,343.672435822389,56.1820717152506,5006.87866382117,6387.10049894056,"1","Summer"
"35",160,"NY","monoA",5507.5759752023,439.082778279945,121.582176894253,4703.461346916,6449.16389979792,"1","Summer"
"36",0,"WI","monoA",5647.64844563086,450.249834304815,121.582176894253,4823.08301957093,6613.1834836785,"1","Summer"
"37",40,"WI","monoA",5736.85270110881,348.644639230677,56.18207171525,5079.31746473217,6479.50815099423,"1","Summer"
"38",80,"WI","monoA",5827.46593224663,308.681788468112,34.443269864861,5233.00111418743,6489.46148691356,"1","Summer"
"39",120,"WI","monoA",5919.51039372711,359.745259843319,56.18207171525,5241.0396592038,6685.81151449759,"1","Summer"
"40",160,"WI","monoA",6013.00869174442,479.377601703555,121.582176894253,5135.10010349898,7041.00656233703,"1","Summer"
"41",0,"KS","monoI",11257.4192819906,897.479936155962,121.582176894257,9613.81861952883,13182.0137144156,"1","Summer"
"42",40,"KS","monoI",11431.9115536293,694.749348987428,56.182071715251,10121.6313255524,12911.8120949609,"1","Summer"
"43",80,"KS","monoI",11609.1084907068,614.936305607913,34.4432698648608,10424.853336409,12927.8941007551,"1","Summer"
"44",120,"KS","monoI",11789.0520160833,716.453777212139,56.1820717152494,10437.837768844,13315.1856271197,"1","Summer"
"45",160,"KS","monoI",11971.7847024322,954.431588739035,121.582176894252,10223.885581428,14018.5086990548,"1","Summer"
"46",0,"MN","monoI",2148.29082314312,147.556014050853,82.1958138447877,1873.93496258168,2462.81410665542,"1","Summer"
"47",40,"MN","monoI",2429.12403189281,132.276152893466,37.9824383147222,2175.57315768725,2712.2248412882,"1","Summer"
"48",80,"MN","monoI",2746.66888614553,140.693290085641,30.3464301804637,2473.97730103016,3049.41761873827,"1","Summer"
"49",120,"MN","monoI",3105.72447971765,188.743592906223,56.1820717152492,2749.75869389624,3507.77126928557,"1","Summer"
"50",160,"MN","monoI",3511.71726325311,275.928173317125,117.607090342067,3005.67664278136,4102.95570770984,"1","Summer"
"51",0,"NY","monoI",4217.30304765256,336.217811129469,121.582176894251,3601.57026651571,4938.30292889053,"1","Summer"
"52",40,"NY","monoI",5081.9675945329,308.845433356772,56.1820717152494,4499.4926840504,5739.8458993901,"1","Summer"
"53",80,"NY","monoI",6123.91244832594,324.3846071259,34.4432698648609,5499.20686587717,6819.5840944746,"1","Summer"
"54",120,"NY","monoI",7379.48500795359,448.472014595895,56.1820717152504,6533.67779067837,8334.78489868378,"1","Summer"
"55",160,"NY","monoI",8892.48490113512,708.939285410304,121.582176894253,7594.16832356759,10412.7646830677,"1","Summer"
"56",0,"WI","monoI",8774.71305898087,699.550111681415,121.582176894252,7493.59135289633,10274.8582944398,"1","Summer"
"57",40,"WI","monoI",9075.58730792648,551.548911508044,56.1820717152496,8035.37959183489,10250.4535152879,"1","Summer"
"58",80,"WI","monoI",9386.77816928665,497.21911838475,34.4432698648603,8429.22484483233,10453.1087996086,"1","Summer"
"59",120,"WI","monoI",9708.63938716574,590.021263035903,56.182071715249,8595.87375992527,10965.456378555,"1","Summer"
"60",160,"WI","monoI",10041.5368351236,800.545632346821,121.582176894251,8575.45689433765,11758.2611927912,"1","Summer"
