"","N","P","CROP","response","SE","df","lower.CL","upper.CL","Year","Harvest"
"1",0,"MN","inter",645.597111881505,114.56044787253,94.7160909521193,453.902114768889,918.250030806659,"2","Fall"
"2",40,"MN","inter",772.10154752269,98.0452368042765,53.0073403929659,598.494569184222,996.067183198507,"2","Fall"
"3",80,"MN","inter",923.394464931172,96.8648761294046,29.4578241702788,745.201688476484,1144.19673365036,"2","Fall"
"4",120,"MN","inter",1104.33315488267,140.233633812401,53.007340392965,856.023923132903,1424.67013364506,"2","Fall"
"5",160,"MN","inter",1320.72669188462,234.361397464365,94.7160909521223,928.567720402351,1878.50488050638,"2","Fall"
"6",0,"NY","inter",491.147502935146,87.1535464954998,94.7160909521217,345.312713057242,698.572223141526,"2","Fall"
"7",40,"NY","inter",555.022245105648,70.4794435752965,53.0073403929643,430.225532558466,716.019085920364,"2","Fall"
"8",80,"NY","inter",627.204028771762,65.7942438060519,29.4578241702785,506.168835758408,777.181181291235,"2","Fall"
"9",120,"NY","inter",708.773201752748,90.0034932313503,53.0073403929646,549.405597480514,914.36900866424,"2","Fall"
"10",160,"NY","inter",800.950613322112,142.127743909115,94.7160909521211,563.127019191302,1139.21346892988,"2","Fall"
"11",0,"WI","inter",581.263402095941,103.144506768245,94.7160909521217,408.67079885192,826.746475562528,"2","Fall"
"12",40,"WI","inter",675.650590091572,85.7974217446192,53.0073403929655,523.730602708108,871.6384292432,"2","Fall"
"13",80,"WI","inter",785.364635456165,82.3854279173602,29.457824170279,633.808274403373,973.161183807215,"2","Fall"
"14",120,"WI","inter",912.89435644776,115.923797384408,53.0073403929655,707.630124982821,1177.70015239869,"2","Fall"
"15",160,"WI","inter",1061.13271264133,188.296751294476,94.7160909521217,746.054115568523,1509.27742417116,"2","Fall"
"16",0,"MN","monoI",1073.11157425456,190.42238619302,94.716090952123,754.476133757111,1526.3152792714,"2","Fall"
"17",40,"MN","monoI",1105.64176304244,140.399807287019,53.0073403929662,857.038290840527,1426.35833340038,"2","Fall"
"18",80,"MN","monoI",1139.15806847278,119.49866431423,29.457824170279,919.328140147343,1411.55377312681,"2","Fall"
"19",120,"MN","monoI",1173.69038357935,149.0409544731,53.0073403929652,909.78618386378,1514.14600588493,"2","Fall"
"20",160,"MN","monoI",1209.26950757015,214.583451251959,94.7160909521205,850.205146073158,1719.97634770035,"2","Fall"
"21",0,"NY","monoI",616.55464395109,109.406896110603,94.7160909521217,433.483129973086,876.942152284581,"2","Fall"
"22",40,"NY","monoI",622.456966417994,79.0426348305309,53.007340392965,482.497561554372,803.014783730943,"2","Fall"
"23",80,"NY","monoI",628.415792247324,65.9213588402181,29.4578241702788,507.146758219846,778.682701890884,"2","Fall"
"24",120,"NY","monoI",634.431662349883,80.5632403804982,53.0073403929639,491.77974795312,818.463012898214,"2","Fall"
"25",160,"NY","monoI",640.505122814645,113.656880404018,94.7160909521205,450.322073031881,911.007558634062,"2","Fall"
"26",0,"WI","monoI",265.082869096889,47.0386432160012,94.7160909521217,186.372696930786,377.034451107044,"2","Fall"
"27",40,"WI","monoI",289.527862947506,36.7656663494644,53.0073403929655,224.42754344629,373.512012544089,"2","Fall"
"28",80,"WI","monoI",316.227086678735,33.1724942516105,29.4578241702789,255.202914772245,391.843370748976,"2","Fall"
"29",120,"WI","monoI",345.388417305629,43.8591131863903,53.0073403929655,267.727856108821,445.576192715633,"2","Fall"
"30",160,"WI","monoI",377.238901517887,66.9405992026224,94.7160909521217,265.226612729163,536.556974257111,"2","Fall"
