"","N","P","CROP","response","SE","df","lower.CL","upper.CL","Year","Harvest"
"1",0,"MN","inter",2802.90801654734,359.525506347926,135.073876252021,2174.89980089103,3612.25530758094,"2","Fall"
"2",40,"MN","inter",2936.90958430424,273.286923021747,75.7780331029933,2440.05083729368,3534.94188504072,"2","Fall"
"3",80,"MN","inter",3077.31750576783,239.571591579549,44.3825947954183,2630.56464457886,3599.94309617936,"2","Fall"
"4",120,"MN","inter",3224.43805621907,300.042180245429,75.7780331029769,2678.93598799462,3881.01874213753,"2","Fall"
"5",160,"MN","inter",3378.59215336302,433.367790705188,135.073876251993,2621.59848209814,4354.16980011009,"2","Fall"
"6",0,"NY","inter",2097.50451513259,269.044281302902,135.073876251982,1627.54615042603,2703.16463213653,"2","Fall"
"7",40,"NY","inter",1999.34925900971,186.044544905534,75.7780331029792,1661.10453640161,2406.46953391754,"2","Fall"
"8",80,"NY","inter",1905.78729660089,148.367042075771,44.3825947954196,1629.11258689731,2229.45010007111,"2","Fall"
"9",120,"NY","inter",1816.60367918123,169.039602882784,75.7780331029765,1509.27537984354,2186.51213111081,"2","Fall"
"10",160,"NY","inter",1731.59351681096,222.109335106589,135.073876251981,1343.6196880893,2231.59584072905,"2","Fall"
"11",0,"WI","inter",2510.18585331275,321.978400508257,135.073876251984,1947.76377973841,3235.00882587399,"2","Fall"
"12",40,"WI","inter",2436.47393636539,226.720110367216,75.778033102978,2024.27759446363,2932.60433194727,"2","Fall"
"13",80,"WI","inter",2364.92657894373,184.111396833251,44.3825947954202,2021.59583271273,2766.56571669399,"2","Fall"
"14",120,"WI","inter",2295.48021849052,213.600285525026,75.778033102978,1907.13682813145,2762.90057208108,"2","Fall"
"15",160,"WI","inter",2228.07315897085,285.792157976693,135.073876251982,1728.86011285718,2871.4353259745,"2","Fall"
"16",0,"MN","monoA",2243.70702251353,287.797494103734,135.073876251992,1740.99111626699,2891.58351001286,"2","Fall"
"17",40,"MN","monoA",2173.00261768052,202.20343257343,75.7780331029822,1805.37967019806,2615.48329938178,"2","Fall"
"18",80,"MN","monoA",2104.52627239925,163.839027872383,44.3825947954208,1798.99941926189,2461.94122343622,"2","Fall"
"19",120,"MN","monoA",2038.20777535291,189.660428901887,75.778033102978,1693.38906972396,2453.24066972172,"2","Fall"
"20",160,"MN","monoA",1973.97912774593,253.199834326822,135.073876251982,1531.69736093804,2543.9709541513,"2","Fall"
"21",0,"NY","monoA",1523.22426534432,195.382071779139,135.073876251983,1181.93680700609,1963.05940282119,"2","Fall"
"22",40,"NY","monoA",1530.29688239098,142.398025643504,75.778033102978,1271.40522443785,1841.90571443575,"2","Fall"
"23",80,"NY","monoA",1537.40233893017,119.6879829739,44.3825947954204,1314.2083095756,1798.50175541139,"2","Fall"
"24",120,"NY","monoA",1544.54078744184,143.723457316296,75.778033102978,1283.23938257177,1859.05005447261,"2","Fall"
"25",160,"NY","monoA",1551.71238111392,199.036206765552,135.073876251981,1204.04199096121,1999.77353927668,"2","Fall"
"26",0,"WI","monoA",1495.53998778176,191.831044114371,135.073876251983,1160.45535652567,1927.38121503495,"2","Fall"
"27",40,"WI","monoA",1459.20970221168,135.783182326121,75.778033102978,1212.34438904668,1756.3433082765,"2","Fall"
"28",80,"WI","monoA",1423.76196719885,110.840990529235,44.3825947954207,1217.0658003893,1665.56166362865,"2","Fall"
"29",120,"WI","monoA",1389.17534345442,129.266306725708,75.7780331029776,1154.15826147971,1672.04810576632,"2","Fall"
"30",160,"WI","monoA",1355.42891250177,173.859171692014,135.073876251981,1051.7370011854,1746.81268679817,"2","Fall"
"31",0,"MN","monoI",1073.11157425457,137.646679742616,135.073876251993,832.674542083278,1382.97545151074,"2","Fall"
"32",40,"MN","monoI",1105.64176304246,102.882784339375,75.7780331029822,918.592156897372,1330.77960551344,"2","Fall"
"33",80,"MN","monoI",1139.15806847279,88.6843528538078,44.3825947954209,973.779577146221,1332.62304470348,"2","Fall"
"34",120,"MN","monoI",1173.69038357936,109.214881936725,75.7780331029776,975.128488286373,1412.68472109505,"2","Fall"
"35",160,"MN","monoI",1209.26950757016,155.11148758846,135.073876251982,938.325480433584,1558.44935732031,"2","Fall"
"36",0,"NY","monoI",616.554643951093,79.0846932004351,135.073876251983,478.411908079473,794.58646943736,"2","Fall"
"37",40,"NY","monoI",622.456966417995,57.9212073721795,75.7780331029788,517.151311094012,749.205632337377,"2","Fall"
"38",80,"NY","monoI",628.415792247325,48.9226643790374,44.3825947954206,537.184857292895,735.140617954004,"2","Fall"
"39",120,"NY","monoI",634.43166234988,59.0354833522217,75.7780331029765,527.100159022831,763.618692390866,"2","Fall"
"40",160,"NY","monoI",640.505122814642,82.1567911750593,135.073876251979,496.996139671825,825.452714024483,"2","Fall"
"41",0,"WI","monoI",265.082869096892,34.0018481425658,135.073876251982,205.689475293101,341.626266431517,"2","Fall"
"42",40,"WI","monoI",289.527862947508,26.9413056557314,75.778033102978,240.546289943848,348.48337691061,"2","Fall"
"43",80,"WI","monoI",316.227086678736,24.6185277645852,44.3825947954203,270.318481052444,369.932421786286,"2","Fall"
"44",120,"WI","monoI",345.388417305628,32.1392726276825,75.7780331029784,286.956500582155,415.718614378397,"2","Fall"
"45",160,"WI","monoI",377.238901517884,48.3879621741646,135.073876251982,292.716281431969,486.167657371989,"2","Fall"
