"","N","P","CROP","response","SE","df","lower.CL","upper.CL","Year","Harvest"
"1",0,"KS","inter",2473.68698045174,1324.41498726193,188.233390855531,860.322648294186,7112.59547430815,"2","Summer"
"2",40,"KS","inter",2483.80834947708,941.840174385182,127.621174559855,1172.8956981922,5259.89120765284,"2","Summer"
"3",80,"KS","inter",2493.97113122262,773.388105695499,78.2143540395014,1345.18980532074,4623.80244086359,"2","Summer"
"4",120,"KS","inter",2504.17549513318,949.5632321034,127.621174559987,1182.51340424615,5303.02213927521,"2","Summer"
"5",160,"KS","inter",2514.42161134686,1346.22435679948,188.233390855649,874.489731058835,7229.71980976427,"2","Summer"
"6",0,"MN","inter",4694.00931880684,2176.47615857635,188.233390855651,1880.66956518288,11715.8928246114,"2","Summer"
"7",40,"MN","inter",4747.91955266876,1559.16868595753,127.62117455998,2479.14231101134,9092.95919434008,"2","Summer"
"8",80,"MN","inter",4802.44894023399,1289.73191264828,78.2143540395137,2813.67900162489,8196.92497604202,"2","Summer"
"9",120,"MN","inter",4857.60459242158,1595.18814117399,127.621174559981,2536.41472794279,9303.02205863264,"2","Summer"
"10",160,"MN","inter",4913.39370181877,2278.19834031643,188.233390855651,1968.56660955017,12263.4596723476,"2","Summer"
"11",0,"NY","inter",5373.51751628883,2491.54442099852,188.233390855654,2152.91666573776,13411.8939555845,"2","Summer"
"12",40,"NY","inter",5701.7953799295,1872.41183852875,127.621174559981,2977.21182170144,10919.770662024,"2","Summer"
"13",80,"NY","inter",6050.12832916808,1624.80510367655,78.2143540395161,3544.67466503767,10326.4914502167,"2","Summer"
"14",120,"NY","inter",6419.74156528337,2108.17808823292,127.621174559986,3352.08986664352,12294.7424215566,"2","Summer"
"15",160,"NY","inter",6811.93513930569,3158.49699464037,188.233390855654,2729.22321907225,17002.0756847944,"2","Summer"
"16",0,"WI","inter",5528.92383124343,2563.60182634495,188.233390855654,2215.18069553326,13799.7763783427,"2","Summer"
"17",40,"WI","inter",5753.4263723139,1889.36693306271,127.621174559984,3004.17112015351,11018.6515501649,"2","Summer"
"18",80,"WI","inter",5987.0448628121,1607.86358924544,78.2143540395153,3507.71505766718,10218.8192098816,"2","Summer"
"19",120,"WI","inter",6230.14945682886,2045.91796164447,127.621174559986,3253.09370174455,11931.6458548875,"2","Summer"
"20",160,"WI","inter",6483.12533860095,3006.03741731766,188.233390855651,2597.48453629018,16181.3912604759,"2","Summer"
"21",0,"KS","monoA",1497.83693296566,801.943718189765,188.233390855631,520.932107990773,4306.73260515675,"2","Summer"
"22",40,"KS","monoA",1710.64776049607,648.66390142941,127.621174559981,807.796366021713,3622.59076998918,"2","Summer"
"23",80,"KS","monoA",1953.69448640355,605.84666589977,78.2143540395165,1053.77718612431,3622.13390042132,"2","Summer"
"24",120,"KS","monoA",2231.27298962096,846.080798328808,127.621174559983,1053.64428710518,4725.10417749253,"2","Summer"
"25",160,"KS","monoA",2548.28950223075,1364.35726561722,188.233390855654,886.268632761686,7327.10019902805,"2","Summer"
"26",0,"MN","monoA",1102.90238010368,511.383923424373,188.233390855649,441.881254067068,2752.76117725956,"2","Summer"
