"","Year","YearCode","Harvest","Location","Treatment","first_value","second_value","Crop1","Plot","Intercropped","Monocrop","IWG","ALF","NRate","Rep","Date","QLengthCM","QWidthCM","QAreaHa","RowSpacing","RowsSampled","QIWGForWetG","SIWGForWetG","SIWGDryG","IWGQual","IWGDM","PlotIWGDryG","PlotIWGDryKG","PlotIWGDryKgHa","QSpikeDryG","QThreshedGrainDryG","PlotThreshedGrainKgHa","QAlfForWetG","SAlfWetG","SAlfDryG","AlfQual","AlfDM","PlotAlfDryG","PlotAlfDryKG","PlotAlfDryKgHa","PlotTotForageKgHa","QWeedsWetG","QWeedsDryG","IWGHeight1","IWGHeight2","IWGHeight3","IWGHeight4","IWGHeight5","IWGHeight6","IWGHeight7","IWGHeight8","IWGHeight9","IWGHeight10","IWGHeightAvg","IWGLodgingScore0to9","ALFHeight1","ALFHeight2","ALFHeight3","ALFHeight4","ALFHeight5","ALFHeight6","ALFHeight7","ALFHeight8","ALFHeight9","ALFHeight10","ALFHeightAvg","ALFLodgingScore0to9","Weednotes","LodgingPercent","WinterSurvivalScore","TillerLength","HeadLength","IWGCounts","AlfalfaLength","CombineAreamM2","CombineAreaHa","IWGNIRDM","IWGCP","IWGADF","IWGaNDF","IWGAsh","IWGFAT","IWGLignin","IWGdNDF30","IWGIVTDMD30","IWGdNDF48","IWGIVTDMD48","IWGCa","IWGP","IWGK","IWGMg","IWGESC","IWGWSC","IWGStarch","ALFNIRDM","ALFCP","ALFADF","ALFaNDF","ALFAsh","ALFFAT","ALFLignin","ALFdNDF30","ALFIVTDMD30","ALFdNDF48","ALFIVTDMD48","ALFCa","ALFP","ALFK","ALFMg","ALFESC","ALFWSC","ALFStarch","image_sample_wt_g","hull_N","nkd_N","spklt_N","hull_F","nkd_F","spklt_F","hull_A","hull_A_SD","nkd_A","nkd_A_SD","spklt_A","spklt_A_SD","hull_C","hull_C_SD","nkd_C","nkd_C_SD","spklt_C","spklt_C_SD","hull_L","hull_L_SD","nkd_L","nkd_L_SD","spklt_L","spklt_L_SD","hull_W","hull_W_SD","nkd_W","nkd_W_SD","spklt_W","spklt_W_SD","X2023MNGrainDeHulledg","X2023MNThreshedhullyweight","X2023MNGrainDeHulledKgHa","C","CROP","V","N","P","hullNHd","NdkNHd","SpkltNHd","WhSamDH","G","GXAdj"
"1",2024,"Z","Fall","NY",15,"Shockwave",NA,"Shockwave",103,"","y","","y",0,"1","21-10-24",76.2,76.2,5.80644e-05,15,4,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,93,93,NA,NA,"0",NA,0,0,0,289,82.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,55,59,65,53,NA,NA,NA,NA,NA,58.2,5,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture","monoA","Shockwave",0,"NY",NA,NA,NA,NA,NA,NA
"2",2024,"Z","Fall","NY",11,"Shockwave","IWG","Shockwave + IWG",106,"y","","y","y",40,"1","21-10-24",76.2,76.2,5.80644e-05,15,4,74,74,51.6,NA,"69.72972973",51.6,0.0516,888.668444,NA,NA,NA,103,103,61.1,NA,"59.32038835",61.1,0.0611,1052.279882,1940.948326,3,-0.15,32,33,35,30,30,NA,NA,NA,NA,NA,32,NA,53,46,50,63,55,NA,NA,NA,NA,NA,53.4,4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"intercrop","inter","Shockwave",40,"NY",NA,NA,NA,NA,NA,NA
"3",2024,"Z","Fall","NY",16,"Shockwave",NA,"Shockwave",109,"","y","","y",40,"1","21-10-24",76.2,76.2,5.80644e-05,15,4,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,191,191,63.5,NA,"33.2460733",63.5,0.0635,1093.613298,1093.613298,42,7.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,79,80,80,73,NA,NA,NA,NA,NA,77.6,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture","monoA","Shockwave",40,"NY",NA,NA,NA,NA,NA,NA
"4",2024,"Z","Fall","NY",12,"Shockwave","IWG","Shockwave + IWG",111,"y","","y","y",80,"1","21-10-24",76.2,76.2,5.80644e-05,15,4,100,100,59.9,NA,"59.9",59.9,0.0599,1031.613174,NA,NA,NA,164,164,61,NA,"37.19512195",61,0.061,1050.557657,2082.170831,33,6.35,38,49,30,46,34,NA,NA,NA,NA,NA,39.4,NA,57,67,77,62,71,NA,NA,NA,NA,NA,66.8,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"intercrop","inter","Shockwave",80,"NY",NA,NA,NA,NA,NA,NA
"5",2024,"Z","Fall","NY",10,"Shockwave","IWG","Shockwave + IWG",113,"y","","y","y",0,"1","21-10-24",76.2,76.2,5.80644e-05,15,4,92,92,58.9,NA,"64.02173913",58.9,0.0589,1014.390918,NA,NA,NA,-2,-2,7.5,NA,"-375",7.5,0.0075,129.166925,1143.557843,17,6.15,28,37,32,27,39,NA,NA,NA,NA,NA,32.6,NA,88,62,73,70,59,NA,NA,NA,NA,NA,70.4,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"intercrop","inter","Shockwave",0,"NY",NA,NA,NA,NA,NA,NA
"6",2024,"Z","Fall","NY",13,"Shockwave","IWG","Shockwave + IWG",116,"y","","y","y",120,"1","21-10-24",76.2,76.2,5.80644e-05,15,4,209,209,94.2,NA,"45.07177033",94.2,0.0942,1622.336578,NA,NA,NA,175,175,58.3,NA,"33.31428571",58.3,0.0583,1004.057564,2626.394142,2,-0.15,31,25,35,27,36,NA,NA,NA,NA,NA,30.8,NA,70,71,72,62,70,NA,NA,NA,NA,NA,69,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"intercrop","inter","Shockwave",120,"NY",NA,NA,NA,NA,NA,NA
"7",2024,"Z","Fall","NY",14,"Shockwave","IWG","Shockwave + IWG",117,"y","","y","y",160,"1","21-10-24",76.2,76.2,5.80644e-05,15,4,214,214,90.1,NA,"42.10280374",90.1,0.0901,1551.725326,NA,NA,NA,56,56,23.8,NA,"42.5",23.8,0.0238,409.8897087,1961.615034,2,-0.35,30,32,33,36,33,NA,NA,NA,NA,NA,32.8,NA,57,51,71,62,61,NA,NA,NA,NA,NA,60.4,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"intercrop","inter","Shockwave",160,"NY",NA,NA,NA,NA,NA,NA
"8",2024,"Z","Fall","NY",18,"Shockwave",NA,"Shockwave",119,"","y","","y",120,"1","21-10-24",76.2,76.2,5.80644e-05,15,4,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,128,128,44.9,NA,"38.90814558",44.9,0.0449,773.2793243,773.2793243,114,32.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,70,66,61,55,NA,NA,NA,NA,NA,64.4,3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture","monoA","Shockwave",120,"NY",NA,NA,NA,NA,NA,NA
"9",2024,"Z","Fall","NY",17,"Shockwave",NA,"Shockwave",120,"","y","","y",80,"1","21-10-24",76.2,76.2,5.80644e-05,15,4,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,242,242,74.8,NA,"30.90909091",74.8,0.0748,1288.224799,1288.224799,66,17.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,64,55,57,65,NA,NA,NA,NA,NA,62.4,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture","monoA","Shockwave",80,"NY",NA,NA,NA,NA,NA,NA
"10",2024,"Z","Fall","NY",19,"Shockwave",NA,"Shockwave",121,"","y","","y",160,"1","21-10-24",76.2,76.2,5.80644e-05,15,4,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,323,323,94.1,NA,"29.13312693",94.1,0.0941,1620.614352,1620.614352,156,38.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,80,65,73,76,NA,NA,NA,NA,NA,74.8,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture","monoA","Shockwave",160,"NY",NA,NA,NA,NA,NA,NA
"11",2024,"Z","Fall","NY",18,"Shockwave",NA,"Shockwave",201,"","y","","y",120,"2","21-10-24",76.2,76.2,5.80644e-05,15,4,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,163,163,53.5,NA,"32.82208589",53.5,0.0535,921.3907317,921.3907317,219,60.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,71,54,76,79,NA,NA,NA,NA,NA,70.2,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture","monoA","Shockwave",120,"NY",NA,NA,NA,NA,NA,NA
"12",2024,"Z","Fall","NY",19,"Shockwave",NA,"Shockwave",203,"","y","","y",160,"2","21-10-24",76.2,76.2,5.80644e-05,15,4,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,67,67,31.3,NA,"46.71641791",31.3,0.0313,539.0566337,539.0566337,217,62.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,54,52,64,55,NA,NA,NA,NA,NA,58.2,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture","monoA","Shockwave",160,"NY",NA,NA,NA,NA,NA,NA
"13",2024,"Z","Fall","NY",17,"Shockwave",NA,"Shockwave",205,"","y","","y",80,"2","21-10-24",76.2,76.2,5.80644e-05,15,4,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,85,85,34.7,NA,"40.82352941",34.7,0.0347,597.6123063,597.6123063,110,35.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,60,60,65,60,NA,NA,NA,NA,NA,63.2,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture","monoA","Shockwave",80,"NY",NA,NA,NA,NA,NA,NA
