Year,YearCode,Harvest ,Location,Treatment,Crop,Crop1,Plot,Intercropped,Monocrop,IWG,ALF,NRate,Rep,Date,QLengthCM,QWidthCM,QAreaHa,RowSpacing,RowsSampled,QIWGForWetG ,SIWGForWetG,SIWGDryG ,IWGQual,IWGDM,PlotIWGDryG,PlotIWGDryKG ,PlotIWGDryKgHa,QSpikeDryG,QThreshedGrainDryG,PlotThreshedGrainKgHa,QAlfForWetG,SAlfWetG,SAlfDryG ,AlfQual,AlfDM,PlotAlfDryG,PlotAlfDryKG ,PlotAlfDryKgHa,PlotTotForageKgHa,QWeedsWetG,QWeedsDryG,IWGHeight1,IWGHeight2,IWGHeight3,IWGHeight4,IWGHeight5,IWGHeight6 ,IWGHeight7,IWGHeight8,IWGHeight9,IWGHeight10,IWGHeightAvg,IWGLodgingScore0to9,ALFHeight1,ALFHeight2,ALFHeight3,ALFHeight4,ALFHeight5,ALFHeight6 ,ALFHeight7,ALFHeight8,ALFHeight9,ALFHeight10,ALFHeightAvg,ALFLodgingScore0to9,Weednotes ,LodgingPercent,WinterSurvivalScore ,TillerLength,HeadLength,IWGCounts,AlfalfaLength,CombineAreamM2,CombineAreaHa,IWGNIRDM,IWGCP,IWGADF,IWGaNDF,IWGAsh,IWGFAT,IWGLignin,IWGdNDF30,IWGIVTDMD30,IWGdNDF48,IWGIVTDMD48,IWGCa,IWGP,IWGK,IWGMg,IWGESC,IWGWSC,IWGStarch,ALFNIRDM,ALFCP,ALFADF,ALFaNDF,ALFAsh,ALFFAT,ALFLignin,ALFdNDF30,ALFIVTDMD30,ALFdNDF48,ALFIVTDMD48,ALFCa,ALFP,ALFK,ALFMg,ALFESC,ALFWSC,ALFStarch,image_sample_wt_g,hull_N,nkd_N,spklt_N,hull_F,nkd_F,spklt_F,hull_A,hull_A_SD,nkd_A,nkd_A_SD,spklt_A,spklt_A_SD,hull_C,hull_C_SD,nkd_C,nkd_C_SD,spklt_C,spklt_C_SD,hull_L,hull_L_SD,nkd_L,nkd_L_SD,spklt_L,spklt_L_SD,hull_W,hull_W_SD,nkd_W,nkd_W_SD,spklt_W,spklt_W_SD,2023MNGrainDeHulledg,2023MNThreshedhullyweight,2023MNGrainDeHulledKgHa
2022,X,Summer,NY,10,Shockwave + IWG,Shockwave + IWG,208,y,,y,y,0,2,17-08-22,152.4,152.4,0.0002322576,15,4,847.8591837,396.9,195.9,,49.4,418.4822728,0.4184822728,1801.802278,44.670,46.53,200.3379007,4521.328571,544.9, ,,,,,,1801.802278,492.900,161.900,141,138,131,130,123,127,,,,,131.6666667,,,,,,,,,,,,,,,,,,,,,,,93.4,4,44.4,68,3.8,1.9,6.5,17.2,43.6,27.1,62.8,0.3,0.1,0.9,0.1,8.7,10.3,3.6,93.5,12.7,48.2,59.1,8,1.3,10.5,14.3,56.2,18.8,62.3,1,0.2,2,0.2,2.8,5.2,1.2,3.104,65,302,0,15,9,0,179.495671,25.93075704,102.4441145,13.64015652,nan,nan,0.4523839458,0.05204929976,0.5555888202,0.04768897098,nan,nan,10.25404794,1.105143209,6.852346494,0.5968962819,nan,nan,2.4333329,0.1962294815,2.072442088,0.1672091349,nan,nan,,,
2023,X,Summer,MN,5,IWG,IWG,1122,,y,y,,0,13,8-8-23,122,91.5,0.00011163,12,4,688.4,688.4,271.2,,39.4,271.2,0.2712,2429.454448,45.500,,,,,,,,,,,2429.454448,72.000,51.200,93,70,100,75,74,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,95.24,12.94,35.39,61.37,6.93,4.52,4.08,25.25,60.72,35.52,74.84,0.43,0.31,2.05,0.25,5.87,8.12,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,X,Summer,MN,5,IWG,IWG,1201,,y,y,,0,14,8-8-23,122,91.5,0.00011163,12,4,642.4,642.4,259,,40.3,259,0.259,2320.16483,80.700,28.3,253.5160799,,,,,,,,,2320.16483,479.400,185.100,88,99,87,90,79,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,96.08,8.19,40.33,68.45,5.58,2.94,4.86,22.94,52.71,35.4,67.56,0.27,0.25,1.89,0.17,6.82,8.4,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.15,,207.3815283
2023,X,Summer,MN,5,IWG,IWG,1320,,y,y,,0,15,8-8-23,122,91.5,0.00011163,12,4,653.2,653.2,276,,42.3,276,0.276,2472.453641,122.300,48.5,434.4710203,,,,,,,,,2472.453641,87.400,54.000,86,102,113,101,107,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,95.55,7.85,39.6,66.67,5.59,3.44,4.5,23.6,54.77,35.69,68.83,0.29,0.26,1.79,0.17,6.49,8.49,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.45,,389.2322852
2023,X,Summer,MN,5,IWG,IWG,1404,,y,y,,0,16,8-8-23,122,91.5,0.00011163,12,4,472.9,472.9,210.5,,44.5,210.5,0.2105,1885.69381,87.200,27.7,248.1411807,,,,,,,,,1885.69381,128.600,42.600,104,102,109,94,99,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,95.65,6.69,39.68,68.79,5.26,3.48,4.99,21.98,53.09,35.5,66.58,0.26,0.23,1.49,0.14,6.65,7.96,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,,211.4127027
2023,X,Fall,MN,5,IWG,IWG,1122,,y,y,,0,13,30-10-23,122,91.5,0.00011163,12,4,358.6,358.6,134.5,,37.5,134.5,0.1345,1204.873242,,,,,,,,,,,,1204.873242,2.600,0.700,31,35,34,35,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.47,16.71,31.23,56.52,10.6,4.14,2.03,31.68,73.23,40.74,84.57,0.45,0.39,3.05,0.31,3.79,7.86,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,X,Fall,MN,5,IWG,IWG,1201,,y,y,,0,14,30-10-23,122,91.5,0.00011163,12,4,220.2,220.2,80.4,,36.5,80.4,0.0804,720.2364956,,,,,,,,,,,,720.2364956,326.200,155.600,32,31,33,38,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.64,18.41,32.21,58.78,9.79,3.36,2.1,35.7,75.95,42.74,84.33,0.44,0.42,3.26,0.29,2.55,6.9,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,X,Fall,MN,5,IWG,IWG,1320,,y,y,,0,15,30-10-23,122,91.5,0.00011163,12,4,144.6,144.6,62.9,,43.5,62.9,0.0629,563.4686016,,,,,,,,,,,,563.4686016,3.500,1.500,23,24,33,28,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.85,14.65,33.06,59.37,10.21,3.95,2.58,29.61,68.53,41.24,80.71,0.38,0.33,2.44,0.25,3.75,7.17,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,X,Fall,MN,5,IWG,IWG,1404,,y,y,,0,16,30-10-23,122,91.5,0.00011163,12,4,178.9,178.9,74.8,,41.8,74.8,0.0748,670.0707695,,,,,,,,,,,,670.0707695,6.400,2.000,26,37,25,28,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.63,13.62,33.7,59.27,11.52,4.15,3.21,27.48,66.92,39.14,78.05,0.4,0.32,2.33,0.21,3.09,6.73,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,X,Summer,NY,23,WL,WL,101,,y,,y,80,1,16-08-22,152.4,152.4,0.0002322576,15,4,,,,,,,,,,,,4521.115193,1094.8,330.8,,30.21556449,1366,1.366080477,5881.747149,5881.747149,119.800,40.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.5,14.8,43,53,8.4,1.5,9.4,12.7,61.2,16.3,66.6,1.1,0.2,2,0.2,4.1,6,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,X,Summer,NY,22,WL,WL,102,,y,,y,0,1,16-08-22,152.4,152.4,0.0002322576,15,4,,,,,,,,,,,,3958.756916,1219.8,376.8,,30.89030989,1223,1.222872279,5265.155065,5265.155065,259.800,100.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.5,13.9,45.5,56.3,7.9,1.4,10,13,58.7,17.4,64.4,1,0.2,2,0.2,3.5,5.6,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,X,Summer,NY,15,Shockwave,Shockwave,103,,y,,y,0,1,16-08-22,152.4,152.4,0.0002322576,15,4,,,,,,,,,,,,4180.979138,1325.8,394.8,,29.7782471,1245,1.245022299,5360.523397,5360.523397,119.800,42.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.5,13.7,46.6,57.5,8.1,1.4,10.1,14,58.8,18.3,64.3,1,0.2,2.1,0.2,3.2,5.5,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
