Location,Sample ,Rep,G from MasterDataSpreadsheet,Threshed Weight,Cleaned weight,Notes
MN,1101,1,,,,
MN,1102,1,59.8,,,
MN,1103,1,,,,
MN,1104,1,56.7,,,
MN,1105,1,76,,,
MN,1106,1,0,,,
MN,1107,1,25.8,,,
MN,1108,1,,,,
MN,1109,1,,,,
MN,1110,1,,,,
MN,1111,1,,,,
MN,1112,1,,,,
MN,1113,1,4,3.98,3.41,
MN,1114,1,14.1,,,
MN,1115,1,29.3,,,
MN,1116,1,78.2,,,
MN,1117,1,0.2,,,
MN,1118,1,,,,
MN,1119,1,3.5,3.65,3.33,
MN,1120,1,34.6,,,
MN,1121,1,,,,
MN,1122,1,41.6,,,
MN,1123,1,8.2,8.29,5.71,
MN,1124,1,57.9,,,
MN,1201,2,20.3,,,
MN,1202,2,,,,
MN,1203,2,,,,
MN,1204,2,,,,
MN,1205,2,87.3,,,
MN,1206,2,,,,
MN,1207,2,18.2,,,
MN,1208,2,40.3,,,
MN,1209,2,65.5,,,
MN,1210,2,14.2,,,
MN,1211,2,16.7,,,
MN,1212,2,30.6,30.26,27.12,
MN,1213,2,62.7,61.9,55.04,
MN,1214,2,16.2,,,
MN,1215,2,3.3,,,
MN,1216,2,,,,
MN,1217,2,7.2,7.33,6.28,
MN,1218,2,29.1,,,
MN,1219,2,5.3,,,
MN,1220,2,,,,
MN,1221,2,71.8,,,
MN,1222,2,,,,
MN,1223,2,,,,
MN,1224,2,,,,
MN,1301,3,4.7,,,
MN,1302,3,47.4,47.03,42.57,
MN,1303,3,,,,
MN,1304,3,0,,,
MN,1305,3,5.9,,,
MN,1306,3,49.4,,,
MN,1307,3,23.3,,,
MN,1308,3,21.9,21.85,19.94,
MN,1309,3,,,,
MN,1310,3,,,,
MN,1311,3,,,,
MN,1312,3,35.2,,,
MN,1313,3,,,,
MN,1314,3,,,,
MN,1315,3,4.2,4.3,3.46,
MN,1316,3,10.4,,,
MN,1317,3,31.6,,,
MN,1318,3,25.1,,,
MN,1319,3,6.6,,,
MN,1320,3,71.7,,,
MN,1321,3,,,,
MN,1322,3,,,,
MN,1323,3,56.2,,,
MN,1324,3,,,,
MN,1401,4,13.5,,,
MN,1402,4,47.8,,,
MN,1403,4,13.7,,,
MN,1404,4,32.4,,,
MN,1405,4,4.3,4.38,3.77,
MN,1406,4,10,,,
MN,1407,4,,,,
MN,1408,4,,,,
MN,1409,4,1.2,,,
MN,1410,4,,,,
MN,1411,4,,,,
MN,1412,4,5.6,5.73,5.13,
MN,1413,4,33.2,,,
MN,1414,4,16.6,,,
MN,1415,4,17.7,,,
MN,1416,4,2.3,,,
MN,1417,4,,,,
MN,1418,4,,,,
MN,1419,4,55.1,54.86,48.91,
MN,1420,4,,,,
MN,1421,4,30.9,,,
MN,1422,4,,,,
MN,1423,4,20.9,,,
MN,1424,4,,,,
