Location,Sample ,Rep,G from MasterDataSpreadsheet,Threshed Weight,Cleaned weight,Notes
WI,101,5,9.6,,,
WI,102,5,9.7,,,
WI,103,5,19,,,
WI,104,5,14,14.54,12.21,
WI,105,6,9.9,,,
WI,106,6,,,,
WI,107,6,,,,
WI,108,6,10.8,,,
WI,109,7,,,,
WI,110,7,,,,
WI,111,7,31.2,32.2,28.23,
WI,112,7,,,,
WI,113,8,,,,
WI,114,8,,,,
WI,115,8,,,,
WI,116,8,29.4,,,
WI,201,5,19.5,,,
WI,202,5,,,,
WI,203,5,21.3,22.28,19.18,
WI,204,5,,,,
WI,205,6,14,,,
WI,206,6,8.3,,,
WI,207,6,18.5,,,
WI,208,6,14.4,14.75,13.4,
WI,209,7,5.8,,,
WI,210,7,11.5,11.56,10.02,
WI,211,7,17.9,,,
WI,212,7,,,,
WI,213,8,,,,
WI,214,8,3.3,,,
WI,215,8,,,,
WI,216,8,13.5,,,
WI,301,5,7.9,8.05,7.05,
WI,302,5,11.3,,,
WI,303,5,9.2,,,
WI,304,5,,,,
WI,305,6,15.4,,,
WI,306,6,14,14.18,11.26,
WI,307,6,11.7,,,
WI,308,6,,,,
WI,309,7,10,10.4,9.43,
WI,310,7,17.8,,,
WI,311,7,2,,,
WI,312,7,,,,
WI,313,8,,,,
WI,314,8,3.3,3.45,2.62,
WI,315,8,,,,
WI,316,8,7.5,,,
WI,401,5,,,,
WI,402,5,,,,
WI,403,5,11.6,,,
WI,404,5,,,,
WI,405,6,,,,
WI,406,6,,,,
WI,407,6,5.6,5.88,4.88,
WI,408,6,,,,
WI,409,7,11.6,,,
WI,410,7,8.4,,,
WI,411,7,,,,
WI,412,7,7,,,
WI,413,8,10.8,11.12,8.15,
WI,414,8,3.5,,,
WI,415,8,,,,
WI,416,8,,,,
WI,501,5,1,,,
WI,502,5,3.3,,,
WI,503,5,,,,
WI,504,5,12.7,,,
WI,505,6,,,,
WI,506,6,5.5,,,
WI,507,6,11.6,,,
WI,508,6,,,,
WI,509,7,6.6,,,
WI,510,7,28.4,,,
WI,511,7,,,,
WI,512,7,6.4,6.58,5.41,
WI,513,8,9.3,,,
WI,514,8,21,21.65,15.44,
WI,515,8,9.6,,,
WI,516,8,14.9,,,
WI,601,5,,,,
WI,602,5,,,,
WI,603,5,31.9,33.04,29.41,
WI,605,6,11.3,11.87,9.91,
WI,606,6,,,,
WI,607,6,18.1,,,
WI,609,7,,,,
WI,610,7,15.3,,,
WI,611,7,,,,
WI,613,8,10.2,10.56,8.58,
WI,614,8,5.3,,,
WI,615,8,6.5,,,
